
time,ax,ay,az,wx,wy,wz,
21:21:38:939,0.39,0.51,-0.00,-0.17,0.20,0.26,
21:21:38:940,0.31,0.63,-0.08,-0.17,0.20,0.26,
21:21:38:941,0.31,0.63,-0.08,-0.23,0.20,0.29,
21:21:38:941,0.31,0.63,-0.08,-0.23,0.20,0.29,
21:21:38:942,0.31,0.63,-0.08,-0.24,0.19,0.29,
21:21:38:942,0.31,0.63,-0.08,-0.24,0.17,0.29,
21:21:38:945,0.31,0.63,-0.08,-0.25,0.15,0.30,
21:21:38:947,0.31,0.63,-0.08,-0.28,0.13,0.30,
21:21:38:947,0.07,0.62,-0.12,-0.28,0.13,0.30,
21:21:38:948,0.07,0.62,-0.12,-0.30,0.09,0.30,
21:21:38:953,0.07,0.62,-0.12,-0.31,0.06,0.29,
21:21:38:954,0.07,0.62,-0.12,-0.32,0.04,0.26,
21:21:38:954,0.07,0.62,-0.12,-0.32,0.03,0.22,
21:21:38:958,0.07,0.62,-0.12,-0.34,0.01,0.17,
21:21:38:958,0.07,0.62,-0.12,-0.35,0.01,0.15,
21:21:38:959,0.05,0.43,-0.14,-0.35,0.01,0.15,
21:21:38:960,0.05,0.43,-0.14,-0.37,0.01,0.10,
21:21:38:962,0.05,0.43,-0.14,-0.37,0.00,0.04,
21:21:38:964,0.05,0.43,-0.14,-0.37,0.00,0.01,
21:21:38:966,0.07,0.19,-0.15,-0.37,0.00,0.01,
21:21:38:967,0.07,0.19,-0.15,-0.35,0.00,-0.05,
21:21:38:967,0.07,0.19,-0.15,-0.34,-0.01,-0.09,
21:21:38:969,0.07,0.19,-0.15,-0.34,-0.02,-0.11,
21:21:38:971,0.07,0.19,-0.15,-0.32,-0.04,-0.14,
21:21:38:974,0.07,0.19,-0.15,-0.28,-0.07,-0.17,
21:21:38:979,-0.04,0.07,-0.06,-0.28,-0.07,-0.17,
21:21:38:980,-0.04,0.07,-0.06,-0.21,-0.12,-0.19,
21:21:38:980,-0.04,0.07,-0.06,-0.19,-0.13,-0.19,
21:21:38:980,-0.04,0.07,-0.06,-0.16,-0.15,-0.19,
21:21:38:982,-0.04,0.07,-0.06,-0.15,-0.16,-0.19,
21:21:38:984,-0.04,0.07,-0.06,-0.10,-0.19,-0.18,
21:21:38:987,-0.04,0.00,-0.06,-0.10,-0.19,-0.18,
21:21:38:987,-0.04,0.00,-0.06,-0.05,-0.21,-0.17,
21:21:38:987,-0.04,0.00,-0.06,-0.02,-0.21,-0.17,
21:21:38:990,-0.04,0.00,-0.06,0.03,-0.22,-0.17,
21:21:38:991,-0.04,0.00,-0.06,0.07,-0.20,-0.16,
