
time,ax,ay,az,wx,wy,wz,
21:14:50:259,1.13,0.25,-1.20,-0.11,0.02,0.08,
21:14:50:260,1.13,0.25,-1.20,-0.15,0.14,0.07,
21:14:50:260,1.13,0.25,-1.20,-0.18,0.19,0.08,
21:14:50:261,1.13,0.25,-1.20,-0.18,0.19,0.08,
21:14:50:261,1.13,0.25,-1.20,-0.18,0.21,0.09,
21:14:50:262,1.13,0.25,-1.20,-0.19,0.21,0.09,
21:14:50:262,0.33,-0.15,0.27,-0.19,0.21,0.09,
21:14:50:263,0.33,-0.15,0.27,-0.18,0.21,0.10,
21:14:50:263,0.33,-0.15,0.27,-0.15,0.20,0.11,
21:14:50:264,0.33,-0.15,0.27,-0.15,0.19,0.13,
21:14:50:264,0.33,-0.15,0.27,-0.14,0.15,0.16,
21:14:50:267,0.33,-0.15,0.27,-0.13,0.12,0.19,
21:14:50:273,-0.74,-0.16,0.66,-0.13,0.12,0.19,
21:14:50:273,-0.74,-0.16,0.66,-0.09,0.08,0.20,
21:14:50:274,-0.74,-0.16,0.66,-0.07,0.05,0.20,
21:14:50:274,-0.74,-0.16,0.66,-0.04,0.02,0.20,
21:14:50:275,-0.74,-0.16,0.66,-0.02,0.00,0.20,
21:14:50:280,-0.74,-0.16,0.66,-0.01,-0.01,0.19,
21:14:50:281,-0.74,-0.16,0.66,-0.01,-0.02,0.17,
21:14:50:282,-0.08,-0.56,-0.17,-0.01,-0.02,0.17,
21:14:50:282,-0.08,-0.56,-0.17,0.00,-0.01,0.13,
21:14:50:283,-0.08,-0.56,-0.17,0.01,-0.00,0.10,
21:14:50:289,-0.08,-0.56,-0.17,0.02,0.00,0.05,
21:14:50:290,-0.08,-0.56,-0.17,0.03,0.02,-0.00,
21:14:50:291,-0.08,-0.56,-0.17,0.01,0.04,-0.05,
21:14:50:291,-0.08,-0.56,-0.17,0.01,0.04,-0.07,
21:14:50:292,0.16,-0.63,-0.69,0.01,0.04,-0.07,
21:14:50:292,0.16,-0.63,-0.69,0.02,0.04,-0.11,
21:14:50:307,0.16,-0.63,-0.69,0.03,0.04,-0.13,
21:14:50:307,0.16,-0.63,-0.69,0.05,0.03,-0.16,
21:14:50:308,-0.61,-0.44,-0.10,0.05,0.03,-0.16,
21:14:50:308,-0.61,-0.44,-0.10,0.05,-0.00,-0.17,
21:14:50:309,-0.61,-0.44,-0.10,0.06,-0.02,-0.18,
21:14:50:310,-0.61,-0.44,-0.10,0.07,-0.05,-0.17,
21:14:50:311,-0.61,-0.44,-0.10,0.09,-0.10,-0.16,
21:14:50:311,-0.61,-0.44,-0.10,0.11,-0.12,-0.16,
21:14:50:312,-0.61,-0.44,-0.10,0.14,-0.16,-0.15,
21:14:50:312,-0.73,-0.15,0.50,0.14,-0.16,-0.15,
21:14:50:313,-0.73,-0.15,0.50,0.15,-0.19,-0.13,
21:14:50:313,-0.73,-0.15,0.50,0.15,-0.20,-0.12,
21:14:50:315,-0.73,-0.15,0.50,0.16,-0.21,-0.11,
21:14:50:316,-0.73,-0.15,0.50,0.16,-0.21,-0.10,
21:14:50:319,-0.73,-0.15,0.50,0.16,-0.19,-0.10,
21:14:50:320,0.56,-0.06,-0.18,0.16,-0.19,-0.10,
21:14:50:321,0.56,-0.06,-0.18,0.16,-0.18,-0.11,
21:14:50:322,0.56,-0.06,-0.18,0.15,-0.14,-0.11,
21:14:50:324,0.56,-0.06,-0.18,0.13,-0.09,-0.12,
21:14:50:327,0.56,-0.06,-0.18,0.12,-0.06,-0.12,
21:14:50:331,0.56,-0.06,-0.18,0.10,0.01,-0.13,
21:14:50:332,0.56,-0.06,-0.18,0.09,0.03,-0.13,
21:14:50:332,0.56,-0.06,-0.18,0.08,0.05,-0.12,
21:14:50:333,1.21,0.47,-0.77,0.08,0.05,-0.12,
21:14:50:338,1.21,0.47,-0.77,0.06,0.09,-0.11,
21:14:50:339,1.21,0.47,-0.77,0.05,0.11,-0.08,
21:14:50:339,1.21,0.47,-0.77,0.04,0.11,-0.06,
21:14:50:340,0.23,0.64,-0.40,0.04,0.11,-0.06,
21:14:50:340,0.23,0.64,-0.40,0.04,0.11,-0.03,
21:14:50:342,0.23,0.64,-0.40,0.03,0.10,0.02,
21:14:50:343,0.23,0.64,-0.40,0.02,0.09,0.04,
21:14:50:346,0.23,0.64,-0.40,0.02,0.07,0.09,
21:14:50:349,0.24,0.64,-0.40,0.02,0.07,0.09,
