
time,ax,ay,az,wx,wy,wz,
0.116391,-0.58,-1.01,-0.10,-0.02,0.03,-0.01,
0.118376,-0.58,-1.01,-0.10,-0.01,0.00,-0.02,
0.119037,-0.77,-0.06,0.79,-0.01,0.00,-0.02,
0.127467,-0.77,-0.06,0.79,0.02,-0.03,-0.03,
0.128063,-0.77,-0.06,0.79,0.02,-0.03,-0.03,
0.128436,-0.77,-0.06,0.79,0.04,-0.04,-0.03,
0.128766,-0.52,0.01,2.23,0.04,-0.04,-0.03,
0.129090,-0.52,0.01,2.23,0.06,-0.03,-0.03,
0.129410,-0.52,0.01,2.23,0.06,-0.03,-0.03,
0.129725,-0.52,0.01,2.23,0.06,0.01,-0.03,
0.130023,-0.56,-0.08,1.58,0.06,0.01,-0.03,
0.130295,-0.56,-0.08,1.58,0.04,0.03,-0.02,
0.130557,-0.56,-0.08,1.58,0.04,0.03,-0.02,
0.132854,-0.56,-0.08,1.58,0.01,0.03,-0.01,
0.133305,-0.21,-0.51,-0.56,0.01,0.03,-0.01,
0.135271,-0.21,-0.51,-0.56,-0.02,0.02,-0.01,
0.135644,-0.21,-0.51,-0.56,-0.02,0.02,-0.01,
0.137794,-0.21,-0.51,-0.56,-0.04,0.01,-0.01,
0.138198,-0.44,-0.77,-0.13,-0.04,0.01,-0.01,
0.140321,-0.44,-0.77,-0.13,-0.04,-0.02,-0.03,
0.140769,-0.44,-0.77,-0.14,-0.04,-0.02,-0.03,
0.143295,-0.44,-0.77,-0.14,-0.01,-0.06,-0.04,
0.144185,0.02,-0.20,2.08,-0.01,-0.06,-0.04,
0.145507,0.02,-0.20,2.08,0.01,-0.09,-0.05,
0.146138,0.02,-0.20,2.08,0.01,-0.09,-0.05,
0.148152,0.02,-0.20,2.08,0.03,-0.08,-0.04,
0.148827,-0.27,-0.29,1.24,0.03,-0.08,-0.04,
0.150369,-0.27,-0.29,1.24,0.02,-0.04,-0.03,
0.151101,-0.27,-0.29,1.24,0.02,-0.04,-0.03,
0.153628,-0.27,-0.29,1.24,0.01,-0.01,-0.01,
0.154007,0.05,0.09,-0.13,0.01,-0.01,-0.01,
0.155109,0.05,0.09,-0.13,-0.00,0.01,-0.00,
0.155679,0.05,0.09,-0.13,-0.00,0.01,-0.00,
0.158004,0.05,0.09,-0.13,-0.01,0.02,-0.01,
0.158301,-0.03,-0.53,-0.07,-0.01,0.02,-0.01,
0.160271,-0.03,-0.53,-0.07,-0.01,0.03,-0.02,
0.160649,-0.03,-0.52,-0.07,-0.01,0.03,-0.02,
0.163144,-0.03,-0.52,-0.07,-0.00,0.03,-0.03,
0.163526,0.03,-0.91,1.72,-0.00,0.03,-0.03,
0.165640,0.03,-0.91,1.72,0.02,0.01,-0.05,
0.166004,0.03,-0.91,1.72,0.02,0.01,-0.05,
0.168211,0.03,-0.91,1.72,0.03,-0.03,-0.06,
0.168634,0.37,-0.10,0.90,0.03,-0.03,-0.06,
0.170868,0.37,-0.10,0.90,0.03,-0.04,-0.05,
0.171395,0.37,-0.10,0.90,0.03,-0.04,-0.05,
0.173267,0.37,-0.10,0.90,0.02,0.01,-0.03,
0.173682,-0.76,-0.09,0.59,0.02,0.01,-0.03,
0.175481,-0.76,-0.09,0.59,0.02,0.07,-0.02,
0.176042,-0.76,-0.09,0.59,0.02,0.07,-0.02,
0.177895,-0.76,-0.09,0.59,0.04,0.12,-0.01,
0.178308,-0.91,0.26,1.44,0.04,0.12,-0.01,
0.180290,-0.91,0.26,1.44,0.05,0.11,-0.02,
0.180632,-0.90,0.26,1.44,0.05,0.11,-0.02,
0.182830,-0.90,0.26,1.44,0.04,0.06,-0.03,
0.183170,-0.02,-0.64,0.67,0.04,0.06,-0.03,
0.185596,-0.02,-0.64,0.67,0.03,-0.00,-0.05,
0.186004,-0.02,-0.64,0.67,0.03,-0.00,-0.05,
0.200680,-0.02,-0.64,0.67,0.02,-0.04,-0.06,
0.201272,0.12,0.03,1.22,0.02,-0.04,-0.06,
0.201613,0.12,0.03,1.22,0.01,-0.07,-0.05,
0.202220,0.12,0.03,1.22,0.01,-0.07,-0.05,
