
time,ax,ay,az,wx,wy,wz,
0.110719,0.52,-0.22,0.57,-0.02,-0.01,-0.01,
0.112924,0.52,-0.22,0.57,-0.04,0.01,-0.01,
0.113372,0.52,-0.22,0.57,-0.04,0.01,-0.01,
0.115198,0.52,-0.22,0.57,-0.06,0.03,-0.01,
0.115545,0.18,-1.42,0.46,-0.06,0.03,-0.01,
0.117769,0.18,-1.42,0.46,-0.06,0.04,-0.02,
0.118181,0.18,-1.41,0.46,-0.06,0.04,-0.02,
0.122000,0.18,-1.41,0.46,-0.05,0.02,-0.03,
0.122496,-0.01,-1.40,1.39,-0.05,0.02,-0.03,
0.122922,-0.01,-1.40,1.39,-0.03,-0.01,-0.03,
0.123315,-0.01,-1.40,1.39,-0.03,-0.01,-0.03,
0.128933,-0.01,-1.40,1.39,-0.02,-0.04,-0.03,
0.129275,0.06,-1.15,0.64,-0.02,-0.04,-0.03,
0.129496,0.06,-1.15,0.64,-0.01,-0.07,-0.03,
0.129695,0.06,-1.15,0.64,-0.01,-0.07,-0.03,
0.131174,0.06,-1.15,0.64,-0.00,-0.06,-0.02,
0.131622,-0.03,-0.45,0.94,-0.00,-0.06,-0.02,
0.132769,-0.03,-0.45,0.94,0.01,-0.02,-0.01,
0.133172,-0.03,-0.45,0.94,0.01,-0.02,-0.01,
0.135286,-0.03,-0.45,0.94,0.01,0.03,-0.00,
0.135498,0.22,-0.28,0.68,0.01,0.03,-0.00,
0.137686,0.22,-0.28,0.68,-0.00,0.05,-0.01,
0.138067,0.22,-0.28,0.68,-0.00,0.05,-0.01,
0.140070,0.22,-0.28,0.68,-0.03,0.04,-0.02,
0.140373,0.47,-1.09,0.27,-0.03,0.04,-0.02,
0.142809,0.47,-1.09,0.27,-0.04,0.05,-0.02,
0.143236,0.47,-1.08,0.27,-0.04,0.05,-0.02,
0.145185,0.47,-1.08,0.27,-0.05,0.06,-0.02,
0.145624,-0.59,-1.25,0.95,-0.05,0.06,-0.02,
0.147641,-0.59,-1.25,0.95,-0.03,0.04,-0.03,
0.147975,-0.59,-1.25,0.95,-0.03,0.04,-0.03,
0.150108,-0.59,-1.25,0.95,-0.01,-0.03,-0.04,
0.150466,0.57,-0.33,1.42,-0.01,-0.03,-0.04,
0.152647,0.57,-0.33,1.42,-0.00,-0.09,-0.04,
0.152918,0.57,-0.33,1.42,-0.00,-0.09,-0.04,
0.154988,0.57,-0.33,1.42,-0.01,-0.09,-0.02,
0.155287,-0.18,-0.51,0.52,-0.01,-0.09,-0.02,
0.159537,-0.18,-0.51,0.52,-0.02,-0.03,-0.00,
0.159974,-0.18,-0.51,0.52,-0.02,-0.03,-0.00,
0.160238,-0.18,-0.51,0.52,-0.02,0.03,0.01,
0.160581,-0.12,-0.12,1.19,-0.02,0.03,0.01,
0.162672,-0.12,-0.12,1.19,-0.03,0.05,0.00,
0.163101,-0.12,-0.12,1.19,-0.03,0.05,0.00,
0.165257,-0.12,-0.12,1.19,-0.04,0.04,-0.01,
0.165605,0.21,-1.48,0.96,-0.04,0.04,-0.01,
0.167554,0.21,-1.48,0.96,-0.05,0.03,-0.03,
0.167882,0.21,-1.48,0.95,-0.05,0.03,-0.03,
0.170037,0.21,-1.48,0.95,-0.04,0.02,-0.04,
0.170308,-0.37,-1.01,1.47,-0.04,0.02,-0.04,
0.172698,-0.37,-1.01,1.47,-0.02,-0.01,-0.04,
0.173054,-0.37,-1.01,1.47,-0.02,-0.01,-0.04,
0.175446,-0.37,-1.01,1.47,0.00,-0.05,-0.04,
0.175686,0.16,0.15,1.50,0.00,-0.05,-0.04,
0.177599,0.16,0.15,1.50,0.01,-0.07,-0.03,
0.177877,0.16,0.15,1.50,0.01,-0.07,-0.03,
0.180178,0.16,0.15,1.50,0.01,-0.05,-0.02,
0.180674,-0.18,0.20,0.46,0.01,-0.05,-0.02,
0.182564,-0.18,0.20,0.46,-0.01,0.01,0.00,
0.182820,-0.18,0.20,0.46,-0.01,0.01,0.00,
0.185074,-0.18,0.20,0.46,-0.01,0.06,0.01,
0.185335,-0.11,0.06,1.05,-0.01,0.06,0.01,
0.187421,-0.11,0.06,1.05,-0.02,0.07,-0.01,
0.187708,-0.11,0.06,1.05,-0.02,0.07,-0.01,
0.190150,-0.11,0.06,1.05,-0.02,0.05,-0.03,
0.190535,0.18,-0.81,1.80,-0.02,0.05,-0.03,
0.192793,0.18,-0.81,1.80,-0.02,0.03,-0.04,
0.193240,0.18,-0.81,1.79,-0.02,0.03,-0.04,
0.195218,0.18,-0.81,1.79,-0.03,0.01,-0.05,
0.195673,-0.30,-0.79,1.17,-0.03,0.01,-0.05,
0.197682,-0.30,-0.79,1.17,-0.03,-0.04,-0.04,
0.198215,-0.30,-0.79,1.17,-0.03,-0.04,-0.04,
0.200086,-0.30,-0.79,1.17,-0.03,-0.09,-0.03,
0.200377,0.15,-0.29,0.83,-0.03,-0.09,-0.03,
0.202441,0.15,-0.29,0.83,-0.03,-0.10,-0.02,
0.202696,0.15,-0.29,0.83,-0.03,-0.10,-0.02,
0.204990,0.15,-0.29,0.83,-0.02,-0.06,0.00,
0.205254,-0.60,-0.10,1.42,-0.02,-0.06,0.00,
0.207522,-0.60,-0.10,1.42,-0.01,-0.00,0.01,
0.207824,-0.60,-0.10,1.42,-0.01,-0.00,0.01,
0.210278,-0.60,-0.10,1.42,-0.00,0.03,0.00,
0.210666,-0.26,-0.29,1.94,-0.00,0.03,0.00,
0.212861,-0.26,-0.29,1.94,0.01,0.04,-0.01,
0.213244,-0.26,-0.29,1.94,0.01,0.04,-0.01,
0.215165,-0.26,-0.29,1.94,0.01,0.04,-0.03,
0.215532,-0.41,-0.56,1.06,0.01,0.04,-0.03,
0.217770,-0.41,-0.56,1.06,0.01,0.04,-0.03,
0.218205,-0.41,-0.56,1.06,0.01,0.04,-0.03,
0.219954,-0.41,-0.56,1.06,0.01,0.02,-0.03,
0.220209,-0.66,-0.08,1.01,0.01,0.02,-0.03,
0.222475,-0.66,-0.08,1.01,0.01,-0.01,-0.02,
0.222767,-0.66,-0.08,1.02,0.01,-0.01,-0.02,
0.239140,-0.66,-0.08,1.02,0.01,-0.04,-0.02,
0.239679,-0.20,-0.08,0.96,0.01,-0.04,-0.02,
0.240022,-0.20,-0.08,0.96,0.00,-0.05,-0.01,
0.240331,-0.20,-0.08,0.96,0.00,-0.05,-0.01,
0.240751,-0.20,-0.08,0.96,-0.00,-0.04,0.00,
0.241046,-0.64,0.18,1.02,-0.00,-0.04,0.00,
0.241538,-0.64,0.18,1.02,-0.01,-0.01,0.00,
0.241864,-0.64,0.18,1.01,-0.01,-0.01,0.00,
0.242175,-0.64,0.18,1.01,-0.01,0.01,0.00,
