
time,ax,ay,az,wx,wy,wz,
0.117100,-0.09,-1.06,0.49,-0.00,0.03,-0.04,
0.117394,-0.09,-1.06,0.49,-0.00,0.00,-0.04,
0.117789,-0.09,-1.06,0.49,-0.00,0.00,-0.04,
0.119286,-0.09,-1.06,0.49,-0.00,-0.02,-0.03,
0.119571,0.20,-0.41,1.03,-0.00,-0.02,-0.03,
0.120594,0.20,-0.41,1.03,-0.01,-0.02,-0.01,
0.120830,0.20,-0.41,1.03,-0.01,-0.02,-0.01,
0.123320,0.20,-0.41,1.03,-0.02,0.00,0.00,
0.123658,-0.12,-1.08,0.07,-0.02,0.00,0.00,
0.125981,-0.12,-1.08,0.07,-0.03,0.01,0.00,
0.126402,-0.12,-1.08,0.07,-0.03,0.01,0.00,
0.128425,-0.12,-1.08,0.07,-0.03,0.00,0.00,
0.128770,0.37,-0.86,0.32,-0.03,0.00,0.00,
0.130484,0.37,-0.86,0.32,-0.03,0.01,-0.01,
0.130850,0.37,-0.86,0.32,-0.03,0.01,-0.01,
0.133414,0.37,-0.86,0.32,-0.03,0.03,-0.02,
0.133773,-0.20,-0.76,0.62,-0.03,0.03,-0.02,
0.136310,-0.20,-0.76,0.62,-0.02,0.05,-0.03,
0.136765,-0.20,-0.76,0.62,-0.02,0.05,-0.03,
0.138254,-0.20,-0.76,0.62,-0.02,0.03,-0.03,
0.138657,0.25,-1.23,0.57,-0.02,0.03,-0.03,
0.140927,0.25,-1.23,0.57,-0.03,0.00,-0.03,
0.141356,0.25,-1.23,0.57,-0.03,0.00,-0.03,
0.143333,0.25,-1.23,0.57,-0.03,0.01,-0.02,
0.143761,-0.56,-1.31,0.65,-0.03,0.01,-0.02,
0.145793,-0.56,-1.31,0.65,-0.03,0.02,-0.01,
0.146162,-0.56,-1.31,0.65,-0.03,0.02,-0.01,
0.148470,-0.56,-1.31,0.65,-0.02,0.02,-0.00,
0.148857,0.01,-0.67,1.02,-0.02,0.02,-0.00,
0.150924,0.01,-0.67,1.02,-0.01,-0.01,0.00,
0.151280,0.01,-0.67,1.01,-0.01,-0.01,0.00,
0.153863,0.01,-0.67,1.01,-0.01,-0.02,0.00,
0.154549,0.17,-0.45,0.89,-0.01,-0.02,0.00,
0.156048,0.17,-0.45,0.89,-0.01,-0.02,0.00,
0.156584,0.17,-0.45,0.89,-0.01,-0.02,0.00,
0.158402,0.17,-0.45,0.89,-0.01,-0.01,0.00,
0.158701,0.12,-1.07,0.41,-0.01,-0.01,0.00,
0.160956,0.12,-1.07,0.41,-0.02,0.01,-0.01,
0.161281,0.12,-1.07,0.41,-0.02,0.01,-0.01,
0.163336,0.12,-1.07,0.41,-0.02,0.02,-0.01,
0.163719,-0.00,-0.72,0.82,-0.02,0.02,-0.01,
0.165907,-0.00,-0.72,0.82,-0.03,0.04,-0.02,
0.166282,-0.00,-0.72,0.82,-0.03,0.04,-0.02,
0.178636,-0.00,-0.72,0.82,-0.03,0.06,-0.01,
0.179841,-0.42,-0.87,0.97,-0.03,0.06,-0.01,
0.180272,-0.42,-0.87,0.97,-0.03,0.05,-0.01,
0.180581,-0.42,-0.87,0.97,-0.03,0.05,-0.01,
0.180923,-0.42,-0.87,0.97,-0.02,0.00,-0.01,
0.181230,0.16,-0.64,1.09,-0.02,0.00,-0.01,
0.181548,0.16,-0.64,1.09,-0.02,-0.04,-0.00,
0.181888,0.16,-0.64,1.09,-0.02,-0.04,-0.00,
0.182188,0.16,-0.64,1.09,-0.02,-0.05,0.00,
0.182466,-0.03,-0.79,0.93,-0.02,-0.05,0.00,
0.182808,-0.03,-0.79,0.93,-0.02,-0.04,0.01,
0.183123,-0.03,-0.79,0.93,-0.02,-0.04,0.01,
0.183426,-0.03,-0.79,0.93,-0.03,-0.03,0.01,
0.183801,0.26,-0.83,0.22,-0.03,-0.03,0.01,
0.185904,0.26,-0.83,0.22,-0.03,-0.02,0.01,
0.186293,0.26,-0.83,0.22,-0.03,-0.02,0.01,
0.188895,0.26,-0.83,0.22,-0.03,-0.01,0.00,
0.189372,0.23,-0.87,0.62,-0.03,-0.01,0.00,
0.190612,0.23,-0.87,0.62,-0.03,0.04,-0.00,
0.190957,0.23,-0.87,0.62,-0.03,0.04,-0.00,
0.194678,0.23,-0.87,0.62,-0.02,0.10,-0.01,
0.194991,-0.72,-0.79,0.66,-0.02,0.10,-0.01,
0.195661,-0.72,-0.79,0.66,-0.02,0.10,-0.02,
0.196021,-0.72,-0.79,0.66,-0.02,0.10,-0.02,
0.198748,-0.72,-0.79,0.66,-0.01,0.03,-0.02,
0.199089,0.55,-0.79,1.04,-0.01,0.03,-0.02,
0.201048,0.55,-0.79,1.04,-0.01,-0.05,-0.01,
0.201443,0.55,-0.79,1.04,-0.01,-0.05,-0.01,
0.203062,0.55,-0.79,1.04,-0.01,-0.08,0.00,
0.203381,0.15,-0.04,0.74,-0.01,-0.08,0.00,
0.205870,0.15,-0.04,0.74,-0.01,-0.07,0.01,
0.206492,0.15,-0.04,0.74,-0.01,-0.07,0.01,
0.209044,0.15,-0.04,0.74,-0.02,-0.05,0.02,
0.209474,0.58,-0.45,0.85,-0.02,-0.05,0.02,
0.210775,0.58,-0.45,0.85,-0.03,-0.02,0.02,
0.211126,0.58,-0.45,0.85,-0.03,-0.02,0.02,
0.213321,0.58,-0.45,0.85,-0.04,0.03,0.02,
0.213688,-0.04,-1.10,0.46,-0.04,0.03,0.02,
0.215762,-0.04,-1.10,0.46,-0.05,0.09,0.00,
0.216105,-0.04,-1.10,0.46,-0.05,0.09,0.00,
0.219554,-0.04,-1.10,0.46,-0.05,0.09,-0.01,
0.220048,0.18,-0.65,1.24,-0.05,0.09,-0.01,
0.220942,0.18,-0.65,1.24,-0.04,0.05,-0.02,
0.221586,0.18,-0.65,1.24,-0.04,0.05,-0.02,
0.223398,0.18,-0.65,1.24,-0.03,-0.00,-0.02,
0.223912,-0.04,-0.89,1.23,-0.03,-0.00,-0.02,
0.225963,-0.04,-0.89,1.23,-0.02,-0.03,-0.02,
0.226381,-0.04,-0.89,1.23,-0.02,-0.03,-0.02,
0.228611,-0.04,-0.89,1.23,-0.00,-0.05,-0.00,
0.229082,-0.07,-0.74,0.77,-0.00,-0.05,-0.00,
0.230822,-0.07,-0.74,0.77,0.00,-0.06,0.01,
0.231156,-0.07,-0.74,0.77,0.00,-0.06,0.01,
0.233317,-0.07,-0.74,0.77,0.00,-0.05,0.03,
0.233772,-0.08,-0.74,0.32,0.00,-0.05,0.03,
0.236377,-0.08,-0.74,0.32,0.00,-0.00,0.03,
0.236874,-0.08,-0.74,0.32,0.00,-0.00,0.03,
0.238653,-0.08,-0.74,0.32,0.00,0.05,0.02,
0.239450,-0.34,-0.93,0.43,0.00,0.05,0.02,
0.240852,-0.34,-0.93,0.43,-0.00,0.08,0.01,
0.241253,-0.34,-0.93,0.43,-0.00,0.08,0.01,
0.243667,-0.34,-0.93,0.43,-0.00,0.08,-0.00,
0.244069,-0.34,-0.89,1.11,-0.00,0.08,-0.00,
0.246297,-0.34,-0.89,1.11,-0.01,0.06,-0.01,
0.246632,-0.34,-0.89,1.11,-0.01,0.06,-0.01,
0.248740,-0.34,-0.89,1.11,-0.01,0.01,-0.01,
0.249138,-0.15,-0.82,1.00,-0.01,0.01,-0.01,
0.251026,-0.15,-0.82,1.00,-0.02,-0.05,-0.00,
0.251391,-0.15,-0.82,1.00,-0.02,-0.05,-0.00,
0.253184,-0.15,-0.82,1.00,-0.02,-0.10,0.01,
0.253527,0.18,-0.44,1.16,-0.02,-0.10,0.01,
0.255711,0.18,-0.44,1.16,-0.02,-0.10,0.03,
0.256797,0.18,-0.44,1.16,-0.02,-0.10,0.03,
0.258338,0.18,-0.44,1.16,-0.02,-0.05,0.04,
0.258667,-0.60,-0.74,0.40,-0.02,-0.05,0.04,
0.260587,-0.60,-0.74,0.40,-0.02,0.01,0.04,
0.260888,-0.60,-0.74,0.40,-0.02,0.01,0.04,
0.263401,-0.60,-0.74,0.40,-0.03,0.04,0.03,
0.263842,-0.00,-1.24,0.73,-0.03,0.04,0.03,
0.265944,-0.00,-1.24,0.73,-0.03,0.03,0.02,
0.266311,-0.00,-1.24,0.73,-0.03,0.03,0.02,
0.283769,-0.00,-1.24,0.73,-0.02,0.01,0.00,
0.284432,0.09,-0.97,0.94,-0.02,0.01,0.00,
0.284837,0.09,-0.97,0.94,-0.01,-0.00,-0.00,
0.285130,0.09,-0.97,0.94,-0.01,-0.00,-0.00,
0.285450,0.09,-0.97,0.94,-0.01,-0.01,-0.00,
0.285757,-0.21,-0.90,0.98,-0.01,-0.01,-0.00,
0.286070,-0.21,-0.90,0.98,-0.00,-0.03,0.00,
0.286377,-0.21,-0.90,0.98,-0.00,-0.03,0.00,
0.286677,-0.21,-0.90,0.98,0.00,-0.04,0.02,
0.286989,0.13,-0.76,1.10,0.00,-0.04,0.02,
0.287294,0.13,-0.76,1.10,0.00,-0.03,0.03,
0.287794,0.12,-0.76,1.10,0.00,-0.03,0.03,
0.288149,0.12,-0.76,1.10,0.00,0.01,0.04,
0.288489,-0.53,-0.86,-0.02,0.00,0.01,0.04,
0.288802,-0.53,-0.86,-0.02,0.00,0.02,0.03,
0.289091,-0.53,-0.86,-0.02,0.00,0.02,0.03,
0.289384,-0.53,-0.86,-0.02,0.00,0.00,0.02,
0.289673,0.59,-0.27,0.86,0.00,0.00,0.02,
0.305853,0.59,-0.27,0.86,0.00,-0.02,0.01,
0.306661,0.59,-0.27,0.86,0.00,-0.02,0.01,
0.307057,0.59,-0.27,0.86,-0.00,-0.02,0.00,
0.307384,0.31,-0.57,0.80,-0.00,-0.02,0.00,
0.307871,0.31,-0.57,0.80,-0.02,-0.01,0.00,
0.308223,0.31,-0.57,0.80,-0.02,-0.01,0.00,
0.308534,0.31,-0.57,0.80,-0.03,-0.01,0.00,
0.308921,0.45,-1.01,0.60,-0.03,-0.01,0.00,
0.309224,0.45,-1.01,0.60,-0.04,-0.02,0.01,
0.309527,0.45,-1.01,0.60,-0.04,-0.02,0.01,
0.309822,0.45,-1.01,0.60,-0.04,-0.04,0.01,
0.310126,0.68,-0.69,0.49,-0.04,-0.04,0.01,
0.310485,0.68,-0.69,0.49,-0.04,-0.03,0.01,
0.310785,0.68,-0.69,0.48,-0.04,-0.03,0.01,
0.311084,0.68,-0.69,0.48,-0.03,0.00,0.01,
0.311377,-0.06,-0.60,0.30,-0.03,0.00,0.01,
0.311750,-0.06,-0.60,0.30,-0.01,0.03,0.01,
0.312341,-0.06,-0.60,0.30,-0.01,0.03,0.01,
0.313537,-0.06,-0.60,0.30,0.01,0.03,-0.00,
0.313877,0.63,-0.14,0.40,0.01,0.03,-0.00,
0.315970,0.63,-0.14,0.40,0.02,-0.00,-0.01,
0.316362,0.63,-0.14,0.40,0.02,-0.00,-0.01,
0.321416,0.63,-0.14,0.40,0.02,-0.02,-0.01,
0.321751,0.72,-0.50,0.45,0.02,-0.02,-0.01,
0.322009,0.72,-0.50,0.45,0.01,-0.01,-0.02,
0.322241,0.72,-0.50,0.45,0.01,-0.01,-0.02,
0.326886,0.72,-0.50,0.45,0.00,0.00,-0.01,
0.327569,0.61,-0.79,0.23,0.00,0.00,-0.01,
0.328013,0.61,-0.79,0.23,-0.02,0.01,-0.01,
0.328368,0.61,-0.79,0.23,-0.02,0.01,-0.01,
0.328695,0.61,-0.79,0.23,-0.03,0.02,-0.01,
0.329030,0.38,-1.46,-0.30,-0.03,0.02,-0.01,
0.330813,0.38,-1.46,-0.30,-0.04,0.03,-0.01,
0.331138,0.38,-1.46,-0.30,-0.04,0.03,-0.01,
0.333666,0.38,-1.46,-0.30,-0.04,0.03,-0.01,
0.334105,0.19,-0.84,0.29,-0.04,0.03,-0.01,
0.336175,0.19,-0.84,0.29,-0.03,0.03,-0.02,
0.336733,0.19,-0.84,0.28,-0.03,0.03,-0.02,
0.338366,0.19,-0.84,0.28,-0.02,0.03,-0.02,
0.338746,0.15,-0.80,0.75,-0.02,0.03,-0.02,
0.340722,0.15,-0.80,0.75,-0.01,0.01,-0.02,
