
time,wx,wy,wz,ax,ay,az,
02:34:56:328,0.20,0.16,-0.01,0.50,-0.11,-0.07,
02:34:56:328,0.20,0.16,-0.01,0.50,-0.11,-0.07,
02:34:56:329,0.20,0.16,-0.01,0.50,-0.11,-0.07,
02:34:56:329,0.20,0.13,0.00,0.50,-0.11,-0.07,
02:34:56:330,0.20,0.13,0.00,0.19,-0.15,0.05,
02:34:56:330,0.19,0.08,0.03,0.19,-0.15,0.05,
02:34:56:331,0.19,0.05,0.04,0.19,-0.15,0.05,
02:34:56:331,0.19,0.05,0.04,0.01,-0.14,0.15,
02:34:56:332,0.20,0.04,0.04,0.01,-0.14,0.15,
02:34:56:332,0.21,0.03,0.03,0.01,-0.14,0.15,
02:34:56:333,0.22,0.03,0.00,0.01,-0.14,0.15,
02:34:56:334,0.22,0.04,-0.01,0.01,-0.14,0.15,
02:34:56:339,0.20,0.06,-0.05,0.01,-0.14,0.15,
02:34:56:340,0.20,0.07,-0.07,0.01,-0.14,0.15,
02:34:56:340,0.20,0.07,-0.07,0.04,-0.10,0.14,
02:34:56:341,0.18,0.09,-0.09,0.04,-0.10,0.14,
02:34:56:342,0.17,0.09,-0.11,0.04,-0.10,0.14,
02:34:56:344,0.16,0.10,-0.12,0.04,-0.10,0.14,
02:34:56:347,0.14,0.11,-0.13,0.04,-0.10,0.14,
02:34:56:348,0.14,0.11,-0.13,-0.02,-0.18,0.17,
02:34:56:348,0.13,0.11,-0.12,-0.02,-0.18,0.17,
02:34:56:350,0.10,0.09,-0.11,-0.02,-0.18,0.17,
02:34:56:352,0.08,0.05,-0.10,-0.02,-0.18,0.17,
02:34:56:364,0.07,0.03,-0.09,-0.02,-0.18,0.17,
02:34:56:364,0.03,-0.01,-0.06,-0.02,-0.18,0.17,
02:34:56:365,0.02,-0.02,-0.05,-0.02,-0.18,0.17,
02:34:56:365,0.02,-0.02,-0.05,-0.17,-0.08,0.11,
02:34:56:366,0.01,-0.03,-0.05,-0.17,-0.08,0.11,
02:34:56:366,0.01,-0.03,-0.05,-0.17,-0.08,0.11,
02:34:56:367,0.04,-0.01,-0.06,-0.17,-0.08,0.11,
02:34:56:367,0.06,0.00,-0.07,-0.17,-0.08,0.11,
02:34:56:368,0.06,0.00,-0.07,-0.08,0.10,0.31,
02:34:56:368,0.06,0.01,-0.07,-0.08,0.10,0.31,
02:34:56:372,0.03,0.02,-0.06,-0.08,0.10,0.31,
02:34:56:373,0.02,0.02,-0.04,-0.08,0.10,0.31,
02:34:56:377,-0.02,0.00,-0.02,-0.08,0.10,0.31,
02:34:56:378,-0.03,-0.02,-0.01,-0.08,0.10,0.31,
02:34:56:379,-0.03,-0.02,-0.01,-0.07,0.11,0.32,
02:34:56:379,-0.03,-0.02,-0.01,-0.07,0.11,0.32,
02:34:56:380,-0.03,-0.02,0.00,-0.07,0.11,0.32,
02:34:56:382,-0.05,-0.01,0.02,-0.07,0.11,0.32,
02:34:56:384,-0.05,-0.00,0.03,-0.07,0.11,0.32,
02:34:56:391,-0.04,0.02,0.02,-0.07,0.11,0.32,
02:34:56:392,-0.04,0.01,0.01,-0.07,0.11,0.32,
02:34:56:392,-0.04,0.01,0.01,0.08,0.03,0.41,
02:34:56:393,-0.04,0.01,0.01,0.08,0.03,0.41,
02:34:56:393,-0.07,0.02,0.02,0.08,0.03,0.41,
02:34:56:394,-0.10,0.02,0.03,0.08,0.03,0.41,
02:34:56:401,-0.05,0.05,-0.00,0.08,0.03,0.41,
02:34:56:401,-0.05,0.05,-0.00,0.08,0.03,0.41,
02:34:56:401,-0.03,0.07,-0.01,0.08,0.03,0.41,
02:34:56:402,-0.03,0.07,-0.01,0.26,0.08,0.58,
02:34:56:402,-0.02,0.08,-0.01,0.26,0.08,0.58,
02:34:56:405,-0.03,0.09,0.01,0.26,0.08,0.58,
02:34:56:409,-0.05,0.09,0.03,0.26,0.08,0.58,
02:34:56:409,-0.05,0.07,0.06,0.26,0.08,0.58,
02:34:56:409,-0.05,0.07,0.06,0.10,0.03,0.40,
02:34:56:410,-0.05,0.06,0.07,0.10,0.03,0.40,
02:34:56:413,-0.04,0.04,0.08,0.10,0.03,0.40,
02:34:56:414,-0.05,0.02,0.09,0.10,0.03,0.40,
02:34:56:418,-0.06,0.02,0.11,0.10,0.03,0.40,
02:34:56:418,-0.06,0.02,0.11,-0.04,-0.08,0.27,
02:34:56:418,-0.05,0.02,0.11,-0.04,-0.08,0.27,
02:34:56:420,-0.04,0.01,0.09,-0.04,-0.08,0.27,
02:34:56:422,-0.03,0.01,0.08,-0.04,-0.08,0.27,
02:34:56:425,-0.03,0.03,0.07,-0.04,-0.08,0.27,
02:34:56:428,-0.04,0.05,0.05,-0.04,-0.08,0.27,
02:34:56:429,-0.04,0.06,0.04,-0.04,-0.08,0.27,
02:34:56:429,-0.04,0.06,0.04,-0.12,0.01,0.07,
02:34:56:430,-0.03,0.08,0.02,-0.12,0.01,0.07,
02:34:56:432,0.01,0.08,-0.01,-0.12,0.01,0.07,
02:34:56:434,0.02,0.08,-0.02,-0.12,0.01,0.07,
02:34:56:441,0.02,0.04,-0.01,-0.12,0.01,0.07,
02:34:56:442,0.02,0.04,-0.01,-0.12,0.01,0.07,
02:34:56:443,0.02,0.04,-0.01,-0.12,0.01,0.07,
02:34:56:444,0.02,0.04,-0.01,-0.35,-0.06,-0.04,
02:34:56:444,0.02,0.00,0.00,-0.35,-0.06,-0.04,
02:34:56:444,0.04,-0.04,0.00,-0.35,-0.06,-0.04,
02:34:56:447,0.04,-0.04,0.00,-0.42,-0.17,0.07,
02:34:56:448,0.05,-0.06,0.00,-0.42,-0.17,0.07,
02:34:56:448,0.05,-0.06,0.01,-0.42,-0.17,0.07,
02:34:56:450,0.06,-0.05,0.00,-0.42,-0.17,0.07,
02:34:56:452,0.08,-0.06,-0.02,-0.42,-0.17,0.07,
02:34:56:457,0.09,-0.05,-0.03,-0.42,-0.17,0.07,
02:34:56:457,0.09,-0.05,-0.03,-0.36,-0.14,0.00,
02:34:56:457,0.09,-0.04,-0.05,-0.36,-0.14,0.00,
02:34:56:458,0.08,-0.03,-0.06,-0.36,-0.14,0.00,
02:34:56:459,0.08,-0.02,-0.07,-0.36,-0.14,0.00,
02:34:56:462,0.08,-0.01,-0.09,-0.36,-0.14,0.00,
02:34:56:463,0.09,0.01,-0.11,-0.36,-0.14,0.00,
02:34:56:467,0.10,0.01,-0.13,-0.36,-0.14,0.00,
02:34:56:467,0.10,0.01,-0.13,-0.23,-0.14,0.12,
02:34:56:468,0.10,0.01,-0.13,-0.23,-0.14,0.12,
02:34:56:471,0.09,0.00,-0.12,-0.23,-0.14,0.12,
02:34:56:474,0.08,-0.00,-0.11,-0.23,-0.14,0.12,
02:34:56:474,0.07,-0.03,-0.09,-0.23,-0.14,0.12,
02:34:56:480,0.08,-0.07,-0.07,-0.23,-0.14,0.12,
02:34:56:481,0.08,-0.08,-0.07,-0.23,-0.14,0.12,
02:34:56:481,0.08,-0.08,-0.07,-0.23,-0.14,0.12,
02:34:56:482,0.08,-0.08,-0.07,-0.19,-0.07,0.14,
02:34:56:482,0.08,-0.07,-0.06,-0.19,-0.07,0.14,
02:34:56:484,0.08,-0.06,-0.06,-0.19,-0.07,0.14,
02:34:56:487,0.11,-0.04,-0.07,-0.19,-0.07,0.14,
02:34:56:488,0.11,-0.03,-0.07,-0.19,-0.07,0.14,
02:34:56:489,0.11,-0.03,-0.07,0.00,0.01,0.27,
02:34:56:490,0.11,-0.02,-0.07,0.00,0.01,0.27,
02:34:56:492,0.08,-0.00,-0.05,0.00,0.01,0.27,
02:34:56:494,0.05,0.03,-0.03,0.00,0.01,0.27,
02:34:56:498,0.04,0.05,-0.02,0.00,0.01,0.27,
02:34:56:499,0.05,0.05,-0.02,0.00,0.01,0.27,
02:34:56:499,0.05,0.05,-0.02,0.11,0.04,0.25,
02:34:56:499,0.06,0.06,-0.01,0.11,0.04,0.25,
02:34:56:502,0.03,0.07,0.01,0.11,0.04,0.25,
02:34:56:505,0.01,0.07,0.03,0.11,0.04,0.25,
02:34:56:507,-0.01,0.08,0.05,0.11,0.04,0.25,
02:34:56:507,-0.01,0.08,0.05,0.11,0.10,0.16,
02:34:56:508,0.00,0.08,0.06,0.11,0.10,0.16,
02:34:56:510,0.00,0.06,0.07,0.11,0.10,0.16,
