
time,wx,wy,wz,ax,ay,az,
21:02:57:781,-0.22,-0.06,-0.06,-0.07,0.13,-0.13,
21:02:57:782,-0.24,-0.05,-0.05,-0.07,0.13,-0.13,
21:02:57:782,-0.24,-0.04,-0.04,-0.07,0.13,-0.13,
21:02:57:783,-0.24,-0.04,-0.04,-0.07,0.13,-0.13,
21:02:57:783,-0.23,-0.03,-0.04,-0.07,0.13,-0.13,
21:02:57:784,-0.22,-0.04,-0.04,-0.07,0.13,-0.13,
21:02:57:787,-0.22,-0.04,-0.02,-0.07,0.13,-0.13,
21:02:57:788,-0.22,-0.04,-0.02,-0.01,-0.02,-0.22,
21:02:57:788,-0.21,-0.04,-0.01,-0.01,-0.02,-0.22,
21:02:57:788,-0.21,-0.03,-0.00,-0.01,-0.02,-0.22,
21:02:57:792,-0.18,-0.03,0.00,-0.01,-0.02,-0.22,
21:02:57:793,-0.14,-0.03,0.01,-0.01,-0.02,-0.22,
21:02:57:795,-0.13,-0.03,0.01,-0.01,-0.02,-0.22,
21:02:57:795,-0.12,-0.02,0.02,-0.01,-0.02,-0.22,
21:02:57:795,-0.12,-0.02,0.02,0.03,-0.08,-0.29,
21:02:57:798,-0.09,-0.01,0.02,0.03,-0.08,-0.29,
21:02:57:799,-0.08,-0.01,0.03,0.03,-0.08,-0.29,
21:02:57:802,-0.03,0.01,0.02,0.03,-0.08,-0.29,
21:02:57:805,-0.00,0.02,0.03,0.03,-0.08,-0.29,
21:02:57:806,-0.00,0.02,0.03,0.07,-0.07,-0.31,
21:02:57:806,0.01,0.02,0.03,0.07,-0.07,-0.31,
21:02:57:807,0.03,0.04,0.04,0.07,-0.07,-0.31,
21:02:57:810,0.06,0.05,0.04,0.07,-0.07,-0.31,
21:02:57:811,0.07,0.05,0.04,0.07,-0.07,-0.31,
21:02:57:818,0.12,0.06,0.05,0.07,-0.07,-0.31,
21:02:57:818,0.12,0.06,0.05,0.07,-0.07,-0.31,
21:02:57:819,0.12,0.06,0.05,0.07,-0.07,-0.31,
21:02:57:819,0.12,0.06,0.05,0.04,-0.12,-0.32,
21:02:57:819,0.13,0.05,0.06,0.04,-0.12,-0.32,
21:02:57:821,0.14,0.04,0.07,0.04,-0.12,-0.32,
21:02:57:825,0.14,0.04,0.07,0.05,-0.18,-0.21,
21:02:57:825,0.16,0.04,0.06,0.05,-0.18,-0.21,
21:02:57:826,0.16,0.03,0.06,0.05,-0.18,-0.21,
21:02:57:827,0.15,0.03,0.06,0.05,-0.18,-0.21,
21:02:57:829,0.15,0.03,0.07,0.05,-0.18,-0.21,
21:02:57:831,0.14,0.03,0.06,0.05,-0.18,-0.21,
21:02:57:834,0.14,0.04,0.05,0.05,-0.18,-0.21,
21:02:57:835,0.14,0.04,0.05,0.08,-0.16,-0.11,
21:02:57:835,0.14,0.04,0.04,0.08,-0.16,-0.11,
21:02:57:837,0.12,0.04,0.04,0.08,-0.16,-0.11,
21:02:57:839,0.10,0.05,0.03,0.08,-0.16,-0.11,
