
time,wx,wy,wz,ax,ay,az,
02:26:21:950,0.39,0.38,-0.04,0.65,-0.10,-0.06,
02:26:21:951,0.41,0.40,-0.02,0.65,-0.10,-0.06,
02:26:21:951,0.40,0.39,0.02,0.65,-0.10,-0.06,
02:26:21:954,0.41,0.36,0.06,0.65,-0.10,-0.06,
02:26:21:955,0.41,0.36,0.06,0.38,-0.17,-0.11,
02:26:21:955,0.42,0.34,0.07,0.38,-0.17,-0.11,
02:26:21:958,0.45,0.31,0.08,0.38,-0.17,-0.11,
02:26:21:960,0.45,0.30,0.09,0.38,-0.17,-0.11,
02:26:21:961,0.46,0.30,0.11,0.38,-0.17,-0.11,
02:26:21:965,0.46,0.29,0.11,0.38,-0.17,-0.11,
02:26:21:965,0.46,0.29,0.11,0.15,-0.01,-0.04,
02:26:21:966,0.46,0.28,0.10,0.15,-0.01,-0.04,
02:26:21:967,0.48,0.26,0.08,0.15,-0.01,-0.04,
02:26:21:970,0.48,0.25,0.06,0.15,-0.01,-0.04,
02:26:21:971,0.48,0.24,0.06,0.15,-0.01,-0.04,
02:26:21:978,0.48,0.24,0.06,-0.07,0.02,0.10,
02:26:21:979,0.41,0.18,0.03,-0.07,0.02,0.10,
02:26:21:979,0.41,0.18,0.03,-0.07,0.02,0.10,
02:26:21:979,0.41,0.18,0.03,-0.07,0.02,0.10,
02:26:21:980,0.39,0.15,0.01,-0.07,0.02,0.10,
02:26:21:982,0.36,0.12,0.01,-0.07,0.02,0.10,
02:26:21:985,0.36,0.12,0.01,-0.43,0.00,0.26,
02:26:21:986,0.32,0.05,0.01,-0.43,0.00,0.26,
02:26:21:986,0.30,-0.00,0.00,-0.43,0.00,0.26,
02:26:21:987,0.29,-0.06,-0.02,-0.43,0.00,0.26,
02:26:21:989,0.26,-0.12,-0.03,-0.43,0.00,0.26,
02:26:21:992,0.22,-0.16,-0.04,-0.43,0.00,0.26,
02:26:21:996,0.15,-0.18,-0.05,-0.43,0.00,0.26,
02:26:21:997,0.09,-0.20,-0.08,-0.43,0.00,0.26,
02:26:21:997,0.09,-0.20,-0.08,-0.56,-0.06,0.22,
02:26:21:998,0.08,-0.21,-0.10,-0.56,-0.06,0.22,
02:26:22:000,0.04,-0.20,-0.16,-0.56,-0.06,0.22,
02:26:22:001,-0.02,-0.17,-0.20,-0.56,-0.06,0.22,
02:26:22:006,-0.09,-0.12,-0.23,-0.56,-0.06,0.22,
02:26:22:007,-0.12,-0.10,-0.24,-0.56,-0.06,0.22,
02:26:22:007,-0.12,-0.10,-0.24,-0.44,-0.02,0.03,
02:26:22:009,-0.16,-0.07,-0.27,-0.44,-0.02,0.03,
02:26:22:010,-0.17,-0.06,-0.28,-0.44,-0.02,0.03,
02:26:22:013,-0.20,-0.07,-0.30,-0.44,-0.02,0.03,
02:26:22:019,-0.20,-0.07,-0.30,-0.45,0.10,0.02,
02:26:22:020,-0.29,-0.12,-0.22,-0.45,0.10,0.02,
02:26:22:020,-0.29,-0.12,-0.22,-0.45,0.10,0.02,
02:26:22:021,-0.29,-0.12,-0.22,-0.45,0.10,0.02,
02:26:22:021,-0.29,-0.17,-0.19,-0.45,0.10,0.02,
02:26:22:021,-0.28,-0.19,-0.17,-0.45,0.10,0.02,
02:26:22:025,-0.28,-0.22,-0.10,-0.45,0.10,0.02,
02:26:22:026,-0.29,-0.23,-0.07,-0.45,0.10,0.02,
02:26:22:027,-0.29,-0.23,-0.07,-0.42,0.23,0.04,
02:26:22:028,-0.29,-0.24,-0.05,-0.42,0.23,0.04,
02:26:22:031,-0.28,-0.23,-0.01,-0.42,0.23,0.04,
02:26:22:032,-0.28,-0.21,0.03,-0.42,0.23,0.04,
02:26:22:035,-0.28,-0.16,0.06,-0.42,0.23,0.04,
02:26:22:036,-0.29,-0.14,0.07,-0.42,0.23,0.04,
02:26:22:036,-0.29,-0.14,0.07,-0.18,0.33,-0.09,
02:26:22:038,-0.31,-0.09,0.09,-0.18,0.33,-0.09,
02:26:22:039,-0.32,-0.04,0.11,-0.18,0.33,-0.09,
02:26:22:049,-0.32,-0.00,0.12,-0.18,0.33,-0.09,
02:26:22:049,-0.30,0.07,0.12,-0.18,0.33,-0.09,
02:26:22:050,-0.30,0.07,0.12,0.21,0.31,-0.19,
02:26:22:050,-0.28,0.13,0.13,0.21,0.31,-0.19,
02:26:22:051,-0.27,0.15,0.13,0.21,0.31,-0.19,
02:26:22:051,-0.27,0.20,0.17,0.21,0.31,-0.19,
02:26:22:052,-0.28,0.23,0.21,0.21,0.31,-0.19,
02:26:22:056,-0.25,0.24,0.25,0.21,0.31,-0.19,
02:26:22:057,-0.25,0.24,0.25,0.21,0.31,-0.19,
02:26:22:057,-0.25,0.24,0.25,0.15,0.23,-0.24,
02:26:22:059,-0.22,0.22,0.27,0.15,0.23,-0.24,
02:26:22:060,-0.21,0.21,0.29,0.15,0.23,-0.24,
02:26:22:062,-0.18,0.21,0.31,0.15,0.23,-0.24,
02:26:22:065,-0.18,0.21,0.31,0.13,0.22,-0.26,
02:26:22:066,-0.13,0.21,0.31,0.13,0.22,-0.26,
02:26:22:066,-0.10,0.20,0.30,0.13,0.22,-0.26,
02:26:22:068,-0.05,0.19,0.28,0.13,0.22,-0.26,
02:26:22:070,-0.01,0.17,0.27,0.13,0.22,-0.26,
02:26:22:072,0.00,0.16,0.26,0.13,0.22,-0.26,
02:26:22:079,0.03,0.12,0.25,0.13,0.22,-0.26,
02:26:22:080,0.03,0.09,0.24,0.13,0.22,-0.26,
02:26:22:080,0.03,0.09,0.24,-0.31,0.14,-0.18,
02:26:22:081,0.04,0.07,0.22,-0.31,0.14,-0.18,
02:26:22:081,0.06,0.04,0.19,-0.31,0.14,-0.18,
02:26:22:081,0.06,0.01,0.15,-0.31,0.14,-0.18,
02:26:22:085,0.07,-0.02,0.10,-0.31,0.14,-0.18,
02:26:22:086,0.07,-0.02,0.10,-0.36,-0.21,-0.12,
02:26:22:086,0.07,-0.02,0.07,-0.36,-0.21,-0.12,
02:26:22:088,0.10,-0.01,-0.00,-0.36,-0.21,-0.12,
02:26:22:090,0.11,-0.00,-0.08,-0.36,-0.21,-0.12,
02:26:22:092,0.12,0.00,-0.11,-0.36,-0.21,-0.12,
02:26:22:097,0.12,-0.00,-0.22,-0.36,-0.21,-0.12,
02:26:22:097,0.12,-0.00,-0.22,-0.36,-0.21,-0.12,
02:26:22:098,0.12,-0.00,-0.22,-0.34,-0.50,-0.13,
02:26:22:098,0.11,-0.01,-0.25,-0.34,-0.50,-0.13,
02:26:22:099,0.12,-0.03,-0.29,-0.34,-0.50,-0.13,
02:26:22:101,0.12,-0.07,-0.32,-0.34,-0.50,-0.13,
02:26:22:104,0.13,-0.10,-0.34,-0.34,-0.50,-0.13,
02:26:22:105,0.13,-0.10,-0.34,-0.35,-0.58,-0.06,
02:26:22:105,0.14,-0.11,-0.35,-0.35,-0.58,-0.06,
02:26:22:108,0.16,-0.13,-0.37,-0.35,-0.58,-0.06,
02:26:22:110,0.16,-0.15,-0.37,-0.35,-0.58,-0.06,
02:26:22:112,0.17,-0.18,-0.37,-0.35,-0.58,-0.06,
02:26:22:115,0.18,-0.20,-0.36,-0.35,-0.58,-0.06,
02:26:22:115,0.18,-0.20,-0.36,-0.31,-0.39,-0.06,
02:26:22:116,0.19,-0.20,-0.36,-0.31,-0.39,-0.06,
02:26:22:117,0.21,-0.20,-0.36,-0.31,-0.39,-0.06,
02:26:22:119,0.23,-0.20,-0.35,-0.31,-0.39,-0.06,
02:26:22:122,0.23,-0.20,-0.35,-0.31,-0.39,-0.06,
02:26:22:126,0.22,-0.15,-0.31,-0.31,-0.39,-0.06,
02:26:22:126,0.23,-0.12,-0.30,-0.31,-0.39,-0.06,
02:26:22:127,0.23,-0.12,-0.30,-0.12,-0.16,-0.14,
02:26:22:128,0.23,-0.10,-0.28,-0.12,-0.16,-0.14,
02:26:22:130,0.25,-0.06,-0.26,-0.12,-0.16,-0.14,
02:26:22:131,0.24,-0.03,-0.21,-0.12,-0.16,-0.14,
02:26:22:137,0.19,0.04,-0.10,-0.12,-0.16,-0.14,
02:26:22:141,0.19,0.04,-0.10,-0.12,-0.16,-0.14,
02:26:22:141,0.19,0.04,-0.10,0.10,-0.11,-0.21,
02:26:22:141,0.18,0.05,-0.07,0.10,-0.11,-0.21,
02:26:22:142,0.18,0.06,-0.05,0.10,-0.11,-0.21,
02:26:22:142,0.16,0.08,-0.00,0.10,-0.11,-0.21,
02:26:22:148,0.11,0.12,0.06,0.10,-0.11,-0.21,
02:26:22:149,0.09,0.16,0.11,0.10,-0.11,-0.21,
02:26:22:149,0.09,0.16,0.11,0.17,0.05,-0.41,
02:26:22:149,0.09,0.18,0.12,0.17,0.05,-0.41,
02:26:22:150,0.10,0.22,0.13,0.17,0.05,-0.41,
02:26:22:151,0.08,0.26,0.16,0.17,0.05,-0.41,
02:26:22:155,0.05,0.30,0.20,0.17,0.05,-0.41,
02:26:22:156,0.05,0.30,0.20,0.14,0.34,-0.44,
02:26:22:156,0.05,0.30,0.21,0.14,0.34,-0.44,
02:26:22:158,0.04,0.29,0.23,0.14,0.34,-0.44,
02:26:22:159,0.03,0.27,0.23,0.14,0.34,-0.44,
02:26:22:162,0.02,0.24,0.26,0.14,0.34,-0.44,
02:26:22:165,-0.02,0.19,0.29,0.14,0.34,-0.44,
02:26:22:165,-0.02,0.19,0.29,-0.10,0.38,-0.36,
02:26:22:166,-0.04,0.17,0.30,-0.10,0.38,-0.36,
02:26:22:168,-0.05,0.12,0.31,-0.10,0.38,-0.36,
02:26:22:170,-0.05,0.07,0.30,-0.10,0.38,-0.36,
02:26:22:172,-0.07,0.05,0.30,-0.10,0.38,-0.36,
02:26:22:178,-0.17,0.03,0.26,-0.10,0.38,-0.36,
02:26:22:179,-0.17,0.03,0.26,-0.10,0.38,-0.36,
02:26:22:179,-0.18,0.02,0.24,-0.10,0.38,-0.36,
02:26:22:179,-0.18,0.02,0.24,-0.17,0.22,-0.30,
02:26:22:179,-0.19,0.02,0.21,-0.17,0.22,-0.30,
02:26:22:181,-0.22,0.01,0.15,-0.17,0.22,-0.30,
02:26:22:185,-0.27,0.02,0.11,-0.17,0.22,-0.30,
02:26:22:185,-0.27,0.02,0.11,-0.22,0.10,-0.39,
02:26:22:185,-0.29,0.03,0.08,-0.22,0.10,-0.39,
02:26:22:187,-0.31,0.05,0.03,-0.22,0.10,-0.39,
02:26:22:189,-0.30,0.04,-0.00,-0.22,0.10,-0.39,
02:26:22:191,-0.30,0.04,-0.05,-0.22,0.10,-0.39,
02:26:22:195,-0.32,0.01,-0.07,-0.22,0.10,-0.39,
02:26:22:195,-0.32,0.01,-0.07,-0.40,-0.08,-0.36,
02:26:22:196,-0.34,-0.02,-0.07,-0.40,-0.08,-0.36,
02:26:22:197,-0.33,-0.05,-0.08,-0.40,-0.08,-0.36,
02:26:22:200,-0.30,-0.10,-0.09,-0.40,-0.08,-0.36,
02:26:22:201,-0.28,-0.16,-0.09,-0.40,-0.08,-0.36,
02:26:22:206,-0.27,-0.20,-0.08,-0.40,-0.08,-0.36,
02:26:22:207,-0.26,-0.22,-0.08,-0.40,-0.08,-0.36,
02:26:22:207,-0.26,-0.22,-0.08,-0.62,-0.20,-0.30,
