
time,wx,wy,wz,ax,ay,az,
02:36:04:853,0.11,0.25,-0.01,0.22,-0.00,-0.43,
02:36:04:854,0.11,0.25,-0.01,0.22,-0.00,-0.43,
02:36:04:854,0.11,0.25,-0.01,0.22,-0.00,-0.43,
02:36:04:854,0.11,0.25,-0.01,0.22,-0.04,-0.31,
02:36:04:854,0.18,0.24,-0.01,0.22,-0.04,-0.31,
02:36:04:856,0.23,0.24,0.00,0.22,-0.04,-0.31,
02:36:04:859,0.26,0.23,0.02,0.22,-0.04,-0.31,
02:36:04:860,0.26,0.23,0.02,0.04,-0.19,-0.35,
02:36:04:860,0.28,0.22,0.02,0.04,-0.19,-0.35,
02:36:04:862,0.32,0.20,0.02,0.04,-0.19,-0.35,
02:36:04:864,0.37,0.20,0.01,0.04,-0.19,-0.35,
02:36:04:867,0.38,0.20,0.01,0.04,-0.19,-0.35,
02:36:04:870,0.38,0.20,0.01,0.03,-0.40,-0.31,
02:36:04:870,0.42,0.20,-0.01,0.03,-0.40,-0.31,
02:36:04:870,0.44,0.22,-0.03,0.03,-0.40,-0.31,
02:36:04:872,0.45,0.23,-0.04,0.03,-0.40,-0.31,
02:36:04:874,0.47,0.23,-0.07,0.03,-0.40,-0.31,
02:36:04:876,0.48,0.24,-0.11,0.03,-0.40,-0.31,
02:36:04:887,0.49,0.25,-0.14,0.03,-0.40,-0.31,
02:36:04:887,0.49,0.25,-0.14,0.03,-0.43,-0.28,
02:36:04:887,0.49,0.25,-0.16,0.03,-0.43,-0.28,
02:36:04:888,0.50,0.25,-0.19,0.03,-0.43,-0.28,
02:36:04:888,0.50,0.25,-0.20,0.03,-0.43,-0.28,
02:36:04:888,0.52,0.25,-0.23,0.03,-0.43,-0.28,
02:36:04:893,0.56,0.18,-0.26,0.03,-0.43,-0.28,
02:36:04:893,0.56,0.16,-0.26,0.03,-0.43,-0.28,
02:36:04:894,0.56,0.16,-0.26,0.03,-0.43,-0.28,
02:36:04:894,0.56,0.16,-0.26,-0.11,-0.34,-0.03,
02:36:04:894,0.55,0.12,-0.24,-0.11,-0.34,-0.03,
02:36:04:896,0.54,0.10,-0.23,-0.11,-0.34,-0.03,
02:36:04:900,0.51,0.01,-0.20,-0.11,-0.34,-0.03,
02:36:04:901,0.51,-0.02,-0.20,-0.11,-0.34,-0.03,
02:36:04:901,0.51,-0.02,-0.20,-0.25,-0.20,0.14,
02:36:04:902,0.51,-0.04,-0.20,-0.25,-0.20,0.14,
02:36:04:904,0.50,-0.06,-0.19,-0.25,-0.20,0.14,
02:36:04:906,0.47,-0.06,-0.19,-0.25,-0.20,0.14,
02:36:04:910,0.47,-0.06,-0.19,-0.19,0.04,0.13,
02:36:04:910,0.43,-0.07,-0.19,-0.19,0.04,0.13,
02:36:04:912,0.40,-0.06,-0.19,-0.19,0.04,0.13,
02:36:04:913,0.35,-0.05,-0.19,-0.19,0.04,0.13,
02:36:04:914,0.31,-0.06,-0.20,-0.19,0.04,0.13,
02:36:04:917,0.28,-0.06,-0.20,-0.19,0.04,0.13,
02:36:04:920,0.28,-0.06,-0.20,-0.10,0.19,0.07,
02:36:04:920,0.22,-0.04,-0.19,-0.10,0.19,0.07,
02:36:04:921,0.14,-0.03,-0.17,-0.10,0.19,0.07,
02:36:04:922,0.11,-0.03,-0.16,-0.10,0.19,0.07,
02:36:04:924,0.07,-0.05,-0.13,-0.10,0.19,0.07,
02:36:04:927,0.03,-0.06,-0.09,-0.10,0.19,0.07,
02:36:04:934,-0.11,-0.10,0.04,-0.10,0.19,0.07,
02:36:04:935,-0.13,-0.10,0.07,-0.10,0.19,0.07,
02:36:04:935,-0.13,-0.10,0.07,-0.10,0.19,0.07,
02:36:04:936,-0.13,-0.10,0.07,-0.18,0.51,0.05,
02:36:04:936,-0.15,-0.11,0.10,-0.18,0.51,0.05,
02:36:04:936,-0.18,-0.11,0.13,-0.18,0.51,0.05,
02:36:04:939,-0.22,-0.09,0.17,-0.18,0.51,0.05,
02:36:04:940,-0.22,-0.09,0.17,-0.12,0.66,0.02,
02:36:04:940,-0.25,-0.07,0.19,-0.12,0.66,0.02,
02:36:04:942,-0.33,-0.04,0.24,-0.12,0.66,0.02,
02:36:04:944,-0.39,-0.01,0.27,-0.12,0.66,0.02,
02:36:04:946,-0.40,-0.00,0.28,-0.12,0.66,0.02,
02:36:04:950,-0.45,0.03,0.29,-0.12,0.66,0.02,
02:36:04:950,-0.45,0.03,0.29,0.08,0.49,0.07,
02:36:04:951,-0.48,0.05,0.31,0.08,0.49,0.07,
02:36:04:952,-0.50,0.08,0.32,0.08,0.49,0.07,
02:36:04:954,-0.56,0.10,0.34,0.08,0.49,0.07,
02:36:04:956,-0.59,0.11,0.35,0.08,0.49,0.07,
02:36:04:959,-0.59,0.12,0.34,0.08,0.49,0.07,
02:36:04:960,-0.59,0.12,0.34,0.13,0.31,0.13,
02:36:04:960,-0.58,0.13,0.34,0.13,0.31,0.13,
02:36:04:965,-0.59,0.12,0.34,0.13,0.31,0.13,
02:36:04:966,-0.61,0.11,0.35,0.13,0.31,0.13,
02:36:04:966,-0.61,0.10,0.35,0.13,0.31,0.13,
02:36:04:971,-0.56,0.06,0.32,0.13,0.31,0.13,
02:36:04:971,-0.54,0.05,0.31,0.13,0.31,0.13,
02:36:04:972,-0.54,0.05,0.31,-0.03,0.24,0.17,
02:36:04:972,-0.52,0.03,0.29,-0.03,0.24,0.17,
02:36:04:974,-0.47,0.01,0.27,-0.03,0.24,0.17,
02:36:04:976,-0.43,-0.01,0.25,-0.03,0.24,0.17,
02:36:04:981,-0.43,-0.01,0.25,-0.19,0.01,0.24,
02:36:04:982,-0.38,-0.04,0.22,-0.19,0.01,0.24,
02:36:04:982,-0.35,-0.06,0.20,-0.19,0.01,0.24,
02:36:04:982,-0.31,-0.10,0.18,-0.19,0.01,0.24,
02:36:04:984,-0.30,-0.12,0.17,-0.19,0.01,0.24,
02:36:04:986,-0.29,-0.15,0.16,-0.19,0.01,0.24,
02:36:04:989,-0.26,-0.16,0.12,-0.19,0.01,0.24,
02:36:04:992,-0.26,-0.16,0.12,-0.26,-0.40,0.06,
02:36:04:992,-0.23,-0.16,0.09,-0.26,-0.40,0.06,
02:36:04:992,-0.17,-0.15,0.03,-0.26,-0.40,0.06,
02:36:04:994,-0.13,-0.11,-0.03,-0.26,-0.40,0.06,
02:36:04:996,-0.11,-0.09,-0.05,-0.26,-0.40,0.06,
02:36:05:000,-0.11,-0.09,-0.05,-0.16,-0.62,-0.15,
02:36:05:000,-0.04,-0.05,-0.14,-0.16,-0.62,-0.15,
02:36:05:000,-0.02,-0.03,-0.16,-0.16,-0.62,-0.15,
02:36:05:002,0.02,-0.01,-0.19,-0.16,-0.62,-0.15,
02:36:05:004,0.07,0.01,-0.23,-0.16,-0.62,-0.15,
02:36:05:007,0.13,0.02,-0.25,-0.16,-0.62,-0.15,
02:36:05:012,0.24,0.02,-0.27,-0.16,-0.62,-0.15,
02:36:05:013,0.28,0.02,-0.27,-0.16,-0.62,-0.15,
02:36:05:013,0.32,0.00,-0.28,-0.16,-0.62,-0.15,
02:36:05:014,0.32,0.00,-0.28,-0.20,-0.64,-0.04,
02:36:05:014,0.40,-0.02,-0.27,-0.20,-0.64,-0.04,
02:36:05:017,0.43,-0.03,-0.25,-0.20,-0.64,-0.04,
02:36:05:023,0.43,-0.03,-0.25,-0.34,-0.65,-0.00,
02:36:05:024,0.48,-0.06,-0.23,-0.34,-0.65,-0.00,
02:36:05:024,0.52,-0.09,-0.19,-0.34,-0.65,-0.00,
02:36:05:025,0.53,-0.10,-0.18,-0.34,-0.65,-0.00,
02:36:05:025,0.56,-0.11,-0.16,-0.34,-0.65,-0.00,
02:36:05:026,0.57,-0.10,-0.15,-0.34,-0.65,-0.00,
02:36:05:029,0.59,-0.06,-0.15,-0.34,-0.65,-0.00,
02:36:05:030,0.59,-0.06,-0.15,-0.14,-0.48,-0.07,
02:36:05:030,0.59,-0.04,-0.16,-0.14,-0.48,-0.07,
