
time,wx,wy,wz,ax,ay,az,
20:55:13:843,0.02,-0.03,0.04,-0.16,0.23,0.43,
20:55:13:844,0.03,-0.04,0.04,-0.16,0.23,0.43,
20:55:13:844,0.03,-0.05,0.04,-0.16,0.23,0.43,
20:55:13:845,0.03,-0.05,0.04,0.03,-0.18,-0.26,
20:55:13:845,0.02,-0.04,0.04,0.03,-0.18,-0.26,
20:55:13:846,0.02,-0.03,0.03,0.03,-0.18,-0.26,
20:55:13:849,0.02,-0.02,0.03,0.03,-0.18,-0.26,
20:55:13:850,0.02,-0.01,0.01,0.03,-0.18,-0.26,
20:55:13:858,-0.01,0.02,0.00,0.03,-0.18,-0.26,
20:55:13:859,-0.01,0.02,0.00,0.03,-0.18,-0.26,
20:55:13:860,-0.01,0.04,-0.01,0.03,-0.18,-0.26,
20:55:13:861,0.01,0.05,-0.03,0.03,-0.18,-0.26,
20:55:13:861,0.01,0.05,-0.03,0.25,-0.29,-0.87,
20:55:13:862,0.01,0.06,-0.03,0.25,-0.29,-0.87,
20:55:13:862,0.00,0.07,-0.03,0.25,-0.29,-0.87,
20:55:13:863,0.00,0.07,-0.03,-0.16,0.12,-0.38,
20:55:13:863,0.00,0.08,-0.03,-0.16,0.12,-0.38,
20:55:13:865,0.01,0.07,-0.02,-0.16,0.12,-0.38,
20:55:13:867,0.03,0.06,-0.02,-0.16,0.12,-0.38,
20:55:13:871,0.04,0.04,-0.01,-0.16,0.12,-0.38,
20:55:13:873,0.05,0.02,0.00,-0.16,0.12,-0.38,
20:55:13:873,0.05,0.01,0.01,-0.16,0.12,-0.38,
20:55:13:874,0.05,0.01,0.01,-0.57,0.24,0.23,
20:55:13:875,0.07,-0.01,0.03,-0.57,0.24,0.23,
20:55:13:877,0.07,-0.02,0.03,-0.57,0.24,0.23,
20:55:13:879,0.08,-0.04,0.04,-0.57,0.24,0.23,
20:55:13:882,0.08,-0.05,0.04,-0.57,0.24,0.23,
20:55:13:883,0.08,-0.05,0.04,-0.24,0.01,0.21,
20:55:13:883,0.08,-0.05,0.04,-0.24,0.01,0.21,
20:55:13:885,0.07,-0.06,0.04,-0.24,0.01,0.21,
20:55:13:886,0.05,-0.06,0.03,-0.24,0.01,0.21,
20:55:13:888,0.04,-0.05,0.02,-0.24,0.01,0.21,
20:55:13:898,0.04,-0.05,0.02,0.65,-0.20,-0.04,
20:55:13:899,0.02,-0.00,-0.01,0.65,-0.20,-0.04,
20:55:13:900,0.01,0.00,-0.02,0.65,-0.20,-0.04,
20:55:13:901,0.01,0.00,-0.02,0.65,-0.20,-0.04,
20:55:13:901,-0.00,0.02,-0.04,0.65,-0.20,-0.04,
20:55:13:901,-0.02,0.05,-0.05,0.65,-0.20,-0.04,
20:55:13:902,-0.02,0.06,-0.06,0.65,-0.20,-0.04,
20:55:13:902,-0.02,0.06,-0.06,0.30,-0.07,-0.09,
20:55:13:903,-0.03,0.07,-0.06,0.30,-0.07,-0.09,
20:55:13:921,-0.02,0.06,-0.06,0.30,-0.07,-0.09,
20:55:13:922,-0.02,0.06,-0.05,0.30,-0.07,-0.09,
20:55:13:923,-0.02,0.05,-0.04,0.30,-0.07,-0.09,
20:55:13:924,-0.02,0.05,-0.04,-0.50,0.28,0.44,
20:55:13:924,-0.02,0.02,-0.03,-0.50,0.28,0.44,
20:55:13:925,-0.01,-0.00,-0.02,-0.50,0.28,0.44,
20:55:13:926,-0.01,-0.02,-0.01,-0.50,0.28,0.44,
20:55:13:927,-0.00,-0.04,0.02,-0.50,0.28,0.44,
20:55:13:927,0.01,-0.06,0.03,-0.50,0.28,0.44,
20:55:13:928,0.01,-0.06,0.03,-0.24,0.31,0.45,
20:55:13:929,0.02,-0.07,0.03,-0.24,0.31,0.45,
20:55:13:929,0.01,-0.07,0.04,-0.24,0.31,0.45,
20:55:13:930,0.01,-0.08,0.04,-0.24,0.31,0.45,
20:55:13:931,0.01,-0.07,0.04,-0.24,0.31,0.45,
20:55:13:931,-0.00,-0.07,0.04,-0.24,0.31,0.45,
20:55:13:937,-0.04,-0.03,0.02,-0.24,0.31,0.45,
20:55:13:938,-0.05,-0.03,0.01,-0.24,0.31,0.45,
20:55:13:939,-0.05,-0.03,0.01,-0.24,0.31,0.45,
20:55:13:939,-0.05,-0.03,0.01,0.62,-0.49,-0.36,
20:55:13:939,-0.07,-0.01,-0.01,0.62,-0.49,-0.36,
20:55:13:940,-0.07,0.01,-0.01,0.62,-0.49,-0.36,
20:55:13:942,-0.09,0.05,-0.03,0.62,-0.49,-0.36,
20:55:13:942,-0.09,0.05,-0.03,0.53,-0.14,-0.24,
20:55:13:942,-0.09,0.06,-0.03,0.53,-0.14,-0.24,
20:55:13:945,-0.08,0.06,-0.04,0.53,-0.14,-0.24,
20:55:13:946,-0.08,0.07,-0.04,0.53,-0.14,-0.24,
20:55:13:948,-0.07,0.07,-0.04,0.53,-0.14,-0.24,
20:55:13:952,-0.05,0.07,-0.03,0.53,-0.14,-0.24,
20:55:13:952,-0.05,0.07,-0.03,-0.28,0.29,0.31,
20:55:13:953,-0.05,0.06,-0.02,-0.28,0.29,0.31,
20:55:13:955,-0.03,0.03,-0.01,-0.28,0.29,0.31,
20:55:13:957,-0.01,0.00,0.01,-0.28,0.29,0.31,
20:55:13:958,-0.01,-0.01,0.02,-0.28,0.29,0.31,
20:55:13:963,-0.01,-0.01,0.02,-0.46,0.10,0.54,
20:55:13:964,0.01,-0.04,0.04,-0.46,0.10,0.54,
20:55:13:965,0.02,-0.07,0.05,-0.46,0.10,0.54,
20:55:13:965,0.03,-0.08,0.06,-0.46,0.10,0.54,
20:55:13:967,0.02,-0.08,0.07,-0.46,0.10,0.54,
20:55:13:973,0.03,-0.08,0.06,-0.46,0.10,0.54,
20:55:13:977,0.02,-0.04,0.04,-0.46,0.10,0.54,
20:55:13:978,0.02,-0.04,0.04,-0.46,0.10,0.54,
20:55:13:979,0.02,-0.02,0.03,-0.46,0.10,0.54,
20:55:13:979,0.02,-0.02,0.03,0.50,-0.20,-0.31,
20:55:13:980,0.01,-0.01,0.02,0.50,-0.20,-0.31,
20:55:13:981,0.01,0.02,-0.01,0.50,-0.20,-0.31,
20:55:13:982,-0.01,0.05,-0.03,0.50,-0.20,-0.31,
20:55:13:983,-0.01,0.05,-0.03,0.57,-0.56,-0.40,
20:55:13:983,-0.01,0.05,-0.03,0.57,-0.56,-0.40,
20:55:13:984,-0.03,0.07,-0.04,0.57,-0.56,-0.40,
20:55:13:989,-0.03,0.08,-0.05,0.57,-0.56,-0.40,
20:55:13:989,-0.03,0.08,-0.05,0.57,-0.56,-0.40,
20:55:13:991,-0.02,0.06,-0.05,0.57,-0.56,-0.40,
20:55:13:992,-0.02,0.06,-0.05,-0.25,0.01,-0.01,
20:55:13:992,-0.02,0.06,-0.04,-0.25,0.01,-0.01,
20:55:13:996,-0.01,0.06,-0.04,-0.25,0.01,-0.01,
20:55:13:997,0.01,0.04,-0.03,-0.25,0.01,-0.01,
20:55:13:998,0.04,0.02,-0.02,-0.25,0.01,-0.01,
20:55:14:005,0.06,-0.01,0.00,-0.25,0.01,-0.01,
20:55:14:005,0.06,-0.01,0.00,-0.68,0.58,0.43,
20:55:14:005,0.07,-0.01,0.01,-0.68,0.58,0.43,
