
time,wx,wy,wz,ax,ay,az,
20:56:25:529,-0.09,-0.01,0.28,-0.02,-0.25,-0.20,
20:56:25:530,-0.06,0.02,0.26,-0.02,-0.25,-0.20,
20:56:25:530,-0.02,0.03,0.23,-0.02,-0.25,-0.20,
20:56:25:531,-0.00,0.03,0.21,-0.02,-0.25,-0.20,
20:56:25:531,-0.00,0.03,0.21,-0.03,-0.37,-0.13,
20:56:25:532,0.01,0.03,0.17,-0.03,-0.37,-0.13,
20:56:25:534,0.01,0.03,0.15,-0.03,-0.37,-0.13,
20:56:25:538,0.02,0.02,0.12,-0.03,-0.37,-0.13,
20:56:25:539,0.04,0.00,0.08,-0.03,-0.37,-0.13,
20:56:25:539,0.04,0.00,0.08,-0.12,-0.47,-0.13,
20:56:25:539,0.05,-0.01,0.07,-0.12,-0.47,-0.13,
20:56:25:543,0.06,-0.01,0.05,-0.12,-0.47,-0.13,
20:56:25:546,0.07,-0.01,0.04,-0.12,-0.47,-0.13,
20:56:25:547,0.10,-0.03,0.01,-0.12,-0.47,-0.13,
20:56:25:552,0.14,-0.06,-0.02,-0.12,-0.47,-0.13,
20:56:25:553,0.14,-0.06,-0.02,-0.12,-0.47,-0.13,
20:56:25:553,0.14,-0.07,-0.02,-0.12,-0.47,-0.13,
20:56:25:554,0.14,-0.07,-0.02,-0.26,-0.57,-0.03,
20:56:25:554,0.13,-0.10,-0.02,-0.26,-0.57,-0.03,
20:56:25:556,0.13,-0.11,-0.02,-0.26,-0.57,-0.03,
20:56:25:558,0.13,-0.14,-0.02,-0.26,-0.57,-0.03,
20:56:25:559,0.13,-0.14,-0.02,-0.31,-0.60,-0.04,
20:56:25:561,0.11,-0.17,-0.03,-0.31,-0.60,-0.04,
20:56:25:562,0.10,-0.17,-0.03,-0.31,-0.60,-0.04,
20:56:25:564,0.08,-0.18,-0.04,-0.31,-0.60,-0.04,
20:56:25:566,0.08,-0.17,-0.05,-0.31,-0.60,-0.04,
20:56:25:569,0.08,-0.16,-0.07,-0.31,-0.60,-0.04,
20:56:25:569,0.08,-0.16,-0.07,-0.17,-0.37,-0.02,
20:56:25:570,0.09,-0.15,-0.08,-0.17,-0.37,-0.02,
20:56:25:572,0.08,-0.10,-0.09,-0.17,-0.37,-0.02,
20:56:25:575,0.07,-0.08,-0.09,-0.17,-0.37,-0.02,
20:56:25:577,0.06,-0.05,-0.09,-0.17,-0.37,-0.02,
20:56:25:579,0.04,-0.04,-0.09,-0.17,-0.37,-0.02,
20:56:25:580,0.04,-0.04,-0.09,-0.07,-0.28,-0.06,
20:56:25:581,0.04,-0.04,-0.08,-0.07,-0.28,-0.06,
20:56:25:582,0.02,-0.05,-0.06,-0.07,-0.28,-0.06,
20:56:25:583,-0.02,-0.07,-0.04,-0.07,-0.28,-0.06,
20:56:25:586,-0.03,-0.09,-0.02,-0.07,-0.28,-0.06,
20:56:25:593,-0.03,-0.09,-0.02,0.04,-0.23,-0.01,
20:56:25:595,-0.07,-0.12,0.03,0.04,-0.23,-0.01,
20:56:25:597,-0.07,-0.12,0.04,0.04,-0.23,-0.01,
20:56:25:598,-0.07,-0.12,0.04,0.04,-0.23,-0.01,
20:56:25:599,-0.07,-0.11,0.05,0.04,-0.23,-0.01,
20:56:25:600,-0.08,-0.09,0.06,0.04,-0.23,-0.01,
20:56:25:602,-0.08,-0.09,0.06,0.16,-0.08,-0.02,
20:56:25:603,-0.08,-0.06,0.07,0.16,-0.08,-0.02,
20:56:25:604,-0.07,-0.04,0.07,0.16,-0.08,-0.02,
20:56:25:605,-0.07,-0.03,0.07,0.16,-0.08,-0.02,
20:56:25:606,-0.07,-0.02,0.07,0.16,-0.08,-0.02,
20:56:25:607,-0.09,-0.02,0.08,0.16,-0.08,-0.02,
20:56:25:616,-0.11,-0.02,0.09,0.16,-0.08,-0.02,
20:56:25:616,-0.11,-0.02,0.09,0.16,-0.08,-0.02,
20:56:25:617,-0.11,-0.02,0.09,0.24,-0.01,-0.16,
20:56:25:617,-0.11,-0.02,0.09,0.24,-0.01,-0.16,
20:56:25:618,-0.11,-0.01,0.09,0.24,-0.01,-0.16,
20:56:25:618,-0.11,0.01,0.09,0.24,-0.01,-0.16,
20:56:25:619,-0.11,0.02,0.09,0.24,-0.01,-0.16,
20:56:25:620,-0.11,0.02,0.09,0.26,-0.03,-0.19,
20:56:25:620,-0.10,0.03,0.09,0.26,-0.03,-0.19,
20:56:25:633,-0.10,0.03,0.09,0.26,-0.03,-0.19,
20:56:25:634,-0.10,0.03,0.09,0.26,-0.03,-0.19,
20:56:25:634,-0.10,0.03,0.10,0.26,-0.03,-0.19,
20:56:25:634,-0.10,0.03,0.10,0.18,-0.08,-0.28,
20:56:25:635,-0.12,-0.01,0.11,0.18,-0.08,-0.28,
