
time,wx,wy,wz,ax,ay,az,
21:27:55:044,-0.16,0.07,0.15,-0.52,-0.87,-0.26,
21:27:55:045,-0.11,0.04,0.16,-0.52,-0.87,-0.26,
21:27:55:045,0.03,-0.04,0.21,-0.52,-0.87,-0.26,
21:27:55:046,0.03,-0.04,0.21,-0.52,-0.87,-0.26,
21:27:55:046,0.03,-0.04,0.21,-0.80,-1.20,-0.47,
21:27:55:047,0.06,-0.05,0.22,-0.80,-1.20,-0.47,
21:27:55:047,0.12,-0.06,0.23,-0.80,-1.20,-0.47,
21:27:55:048,0.18,-0.06,0.22,-0.80,-1.20,-0.47,
21:27:55:048,0.22,-0.01,0.20,-0.80,-1.20,-0.47,
21:27:55:049,0.25,0.01,0.19,-0.80,-1.20,-0.47,
21:27:55:049,0.25,0.01,0.19,0.13,-0.82,-0.97,
21:27:55:050,0.29,0.06,0.16,0.13,-0.82,-0.97,
21:27:55:050,0.31,0.09,0.15,0.13,-0.82,-0.97,
21:27:55:051,0.37,0.14,0.11,0.13,-0.82,-0.97,
21:27:55:051,0.41,0.18,0.08,0.13,-0.82,-0.97,
21:27:55:051,0.42,0.19,0.07,0.13,-0.82,-0.97,
21:27:55:052,0.42,0.19,0.07,-0.00,-0.45,-0.27,
21:27:55:052,0.45,0.18,0.05,-0.00,-0.45,-0.27,
21:27:55:053,0.47,0.16,0.04,-0.00,-0.45,-0.27,
21:27:55:053,0.49,0.15,0.03,-0.00,-0.45,-0.27,
21:27:55:053,0.54,0.10,0.02,-0.00,-0.45,-0.27,
21:27:55:054,0.54,0.10,0.02,-0.91,-0.66,0.94,
21:27:55:058,0.54,0.08,0.02,-0.91,-0.66,0.94,
21:27:55:059,0.55,0.06,0.03,-0.91,-0.66,0.94,
21:27:55:059,0.55,0.03,0.03,-0.91,-0.66,0.94,
21:27:55:061,0.56,-0.02,0.02,-0.91,-0.66,0.94,
21:27:55:071,0.56,-0.02,0.02,-0.91,-0.65,0.99,
21:27:55:071,0.52,-0.06,-0.00,-0.91,-0.65,0.99,
21:27:55:072,0.49,-0.06,-0.01,-0.91,-0.65,0.99,
21:27:55:072,0.49,-0.06,-0.01,-0.91,-0.65,0.99,
21:27:55:072,0.44,-0.09,-0.03,-0.91,-0.65,0.99,
21:27:55:073,0.42,-0.09,-0.05,-0.91,-0.65,0.99,
21:27:55:074,0.42,-0.09,-0.05,-0.13,0.76,-0.33,
21:27:55:075,0.39,-0.08,-0.09,-0.13,0.76,-0.33,
21:27:55:075,0.35,-0.05,-0.13,-0.13,0.76,-0.33,
21:27:55:076,0.33,-0.04,-0.16,-0.13,0.76,-0.33,
21:27:55:079,0.29,-0.01,-0.20,-0.13,0.76,-0.33,
21:27:55:080,0.27,0.02,-0.24,-0.13,0.76,-0.33,
21:27:55:084,0.27,0.02,-0.24,-0.07,0.21,0.52,
21:27:55:085,0.24,0.03,-0.27,-0.07,0.21,0.52,
21:27:55:085,0.22,0.02,-0.28,-0.07,0.21,0.52,
21:27:55:087,0.18,0.01,-0.27,-0.07,0.21,0.52,
21:27:55:088,0.15,0.00,-0.26,-0.07,0.21,0.52,
21:27:55:093,0.10,-0.04,-0.24,-0.07,0.21,0.52,
21:27:55:094,0.10,-0.04,-0.24,-1.33,-0.67,0.10,
21:27:55:094,0.06,-0.08,-0.21,-1.33,-0.67,0.10,
21:27:55:096,0.04,-0.10,-0.19,-1.33,-0.67,0.10,
21:27:55:096,-0.00,-0.13,-0.15,-1.33,-0.67,0.10,
21:27:55:099,-0.05,-0.16,-0.11,-1.33,-0.67,0.10,
21:27:55:102,-0.07,-0.17,-0.10,-1.33,-0.67,0.10,
21:27:55:108,-0.12,-0.18,-0.08,-1.33,-0.67,0.10,
