time,wx,wy,wz,ax,ay,az
1900-01-01 21:30:11.660,0.05,0.066,-0.223,0.273,-0.4349999999999999,0.1589999999999999
1900-01-01 21:30:11.670,0.365,0.2066666666666666,0.0116666666666666,0.17,-0.395,0.12
1900-01-01 21:30:11.680,0.375,0.26,0.115,0.1,-0.3,0.08
1900-01-01 21:30:11.690,0.33875,0.295,0.19625,-0.0775,-0.14625,-0.0225
1900-01-01 21:30:11.700,0.2725,0.2675,0.195,-0.3475,0.0375,0.0875
1900-01-01 21:30:11.710,0.14,0.14,0.205,-0.51,-0.035,0.285
1900-01-01 21:30:11.720,0.0675,0.095,0.1525,-0.56,-0.02,0.37
1900-01-01 21:30:11.730,-0.06,0.12,0.0249999999999999,-0.625,0.04,0.295
1900-01-01 21:30:11.740,-0.02,0.09375,-0.01,-0.7100000000000001,0.12,0.4449999999999999
1900-01-01 21:30:11.750,0.03,-0.0242857142857142,0.0642857142857143,-0.9185714285714288,-0.0742857142857142,0.5028571428571429
1900-01-01 21:30:11.760,0.0133333333333333,-0.0633333333333333,0.0533333333333333,-0.93,-0.12,0.48
1900-01-01 21:30:11.770,0.0,0.051,-0.088,-0.804,0.027,0.3359999999999999
1900-01-01 21:30:11.780,0.004,-0.058,-0.08,-0.66,0.112,0.186
1900-01-01 21:30:11.790,0.0242857142857142,-0.0714285714285714,-0.0171428571428571,-0.5871428571428572,0.1085714285714285,0.1414285714285714
1900-01-01 21:30:11.800,0.0233333333333333,0.0233333333333333,-0.01,-0.53,0.16,0.05
1900-01-01 21:30:11.810,0.0375,0.135,0.01,-0.32375,0.30875,0.07125
1900-01-01 21:30:11.820,0.0183333333333333,0.105,0.1416666666666667,-0.24,0.21,0.2766666666666666
1900-01-01 21:30:11.830,0.01,0.0733333333333333,0.1733333333333333,-0.26,0.17,0.41
1900-01-01 21:30:11.840,-0.035,0.1,0.09125,-0.19,0.1875,0.52375
1900-01-01 21:30:11.850,-0.0725,0.1225,0.03125,-0.265,0.0849999999999999,0.6599999999999999
1900-01-01 21:30:11.860,-0.108,-0.012,0.092,-0.41,-0.074,0.6619999999999999
1900-01-01 21:30:11.870,-0.0528571428571428,0.0042857142857142,0.0328571428571428,-0.4257142857142857,-0.0728571428571428,0.6714285714285715
1900-01-01 21:30:11.880,0.065,0.1,-0.09,-0.37,0.0,0.71
1900-01-01 21:30:11.890,0.125,0.0333333333333333,-0.1016666666666666,-0.385,-0.1749999999999999,0.735
1900-01-01 21:30:11.900,0.13,-0.0733333333333333,-0.0722222222222222,-0.3844444444444444,-0.41,0.7200000000000001
1900-01-01 21:30:11.910,0.17,0.05,-0.164,-0.0819999999999999,-0.15,0.936
1900-01-01 21:30:11.920,0.11,0.0,-0.125,0.07,-0.19,1.04
1900-01-01 21:30:11.930,0.0288888888888888,-0.0433333333333333,-0.0111111111111111,0.09,-0.0766666666666666,0.8777777777777778
1900-01-01 21:30:11.940,0.06,0.1166666666666666,-0.0166666666666666,0.2133333333333333,0.1833333333333333,0.7866666666666666
1900-01-01 21:30:11.950,0.0583333333333333,0.1366666666666667,0.0983333333333333,0.18,0.12,0.815
1900-01-01 21:30:11.960,-0.06,0.03,0.2533333333333333,0.08,-0.03,0.77
1900-01-01 21:30:11.970,-0.01,0.1166666666666666,0.1344444444444444,0.15,0.1377777777777777,0.6833333333333333
1900-01-01 21:30:11.980,-0.04,0.0785714285714285,-0.0099999999999999,0.2642857142857143,0.2157142857142857,0.6142857142857142
1900-01-01 21:30:11.990,-0.0116666666666666,-0.035,-0.0316666666666666,0.235,-0.04,0.765
1900-01-01 21:30:12.000,0.0066666666666666,-0.07,-0.0633333333333333,0.27,-0.11,0.93
1900-01-01 21:30:12.010,0.016,-0.03,-0.108,0.206,-0.014,0.45
1900-01-01 21:30:12.020,0.0611111111111111,0.0055555555555555,-0.12,0.2122222222222222,0.0377777777777777,0.1822222222222222
1900-01-01 21:30:12.030,0.0242857142857142,-0.0214285714285714,0.0157142857142857,0.1185714285714285,-0.0328571428571428,-0.0642857142857143
1900-01-01 21:30:12.040,0.035,0.04,0.05,0.14,0.01,-0.03
1900-01-01 21:30:12.050,0.014,0.057,0.071,0.182,-0.218,-0.05
1900-01-01 21:30:12.060,0.038,0.038,0.018,0.212,-0.146,0.006
1900-01-01 21:30:12.070,0.0816666666666666,0.0416666666666666,-0.04,0.2366666666666666,0.0366666666666666,0.11
1900-01-01 21:30:12.080,0.04,-0.0033333333333333,-0.0266666666666666,0.19,-0.03,0.11
1900-01-01 21:30:12.090,-0.01,-0.0671428571428571,-0.0442857142857142,0.06,0.06,-0.18
1900-01-01 21:30:12.100,-0.02875,-0.0325,-0.14625,0.2175,0.23875,-0.06
1900-01-01 21:30:12.110,-0.038,-0.014,-0.13,0.258,0.196,0.048
1900-01-01 21:30:12.120,-0.105,-0.1075,-0.0075,0.17,-0.1,0.08
1900-01-01 21:30:12.130,-0.114,0.0419999999999999,0.061,0.161,0.129,-0.127
1900-01-01 21:30:12.140,-0.0699999999999999,0.17,0.06,0.2066666666666666,0.2833333333333333,-0.0833333333333333
1900-01-01 21:30:12.150,-0.1055555555555555,0.02,0.17,0.1444444444444444,0.0833333333333333,0.0988888888888888
1900-01-01 21:30:12.160,-0.12,0.02,0.175,0.1,0.05,0.11
1900-01-01 21:30:12.170,-0.087,0.137,0.051,0.049,-0.24,-0.05
1900-01-01 21:30:12.180,-0.0616666666666666,0.0916666666666666,0.1466666666666666,-0.22,-0.545,-0.0249999999999999
1900-01-01 21:30:12.190,0.0266666666666666,0.03,0.1633333333333333,-0.5099999999999999,-0.4633333333333333,0.0433333333333333
1900-01-01 21:30:12.200,0.03,0.058,0.092,-0.658,-0.344,-0.126
1900-01-01 21:30:12.210,0.0542857142857142,0.1114285714285714,0.0128571428571428,-0.7485714285714286,-0.2357142857142857,-0.2514285714285714
1900-01-01 21:30:12.220,0.1683333333333333,0.0633333333333333,-0.02,-0.7799999999999999,-0.21,-0.22
1900-01-01 21:30:12.230,0.1466666666666666,-0.065,0.0083333333333333,-0.6699999999999999,-0.235,-0.155
1900-01-01 21:30:12.240,0.165,-0.0199999999999999,-0.085,-0.3949999999999999,-0.065,-0.19
1900-01-01 21:30:12.250,0.14375,0.04125,-0.185,-0.1275,0.1225,-0.22625
1900-01-01 21:30:12.260,0.1159999999999999,-0.022,-0.158,0.074,0.27,-0.184
1900-01-01 21:30:12.270,0.0385714285714285,-0.0142857142857142,-0.0614285714285714,0.1757142857142857,0.36,-0.1242857142857142
1900-01-01 21:30:12.280,-0.045,0.075,0.01,0.18,0.36,-0.12
1900-01-01 21:30:12.290,-0.0677777777777777,0.1833333333333333,0.0766666666666666,0.3188888888888889,0.3266666666666666,-0.1166666666666666
1900-01-01 21:30:12.310,-0.115,0.05875,0.16625,0.23875,0.16625,-0.045
1900-01-01 21:30:12.320,-0.0985714285714285,0.15,-0.0042857142857142,0.17,0.3814285714285714,-0.2057142857142857
1900-01-01 21:30:12.330,-0.101,0.032,0.0049999999999999,-0.089,-0.0639999999999999,-0.256
1900-01-01 21:30:12.340,0.005,-0.0466666666666666,-0.0166666666666666,-0.1466666666666666,-0.3233333333333333,-0.0733333333333333
1900-01-01 21:30:12.350,0.0366666666666666,0.0066666666666666,-0.1916666666666666,-0.0566666666666666,-0.2133333333333333,-0.1433333333333333
1900-01-01 21:30:12.360,0.04,-0.01,-0.235,-0.04,-0.2,-0.2
1900-01-01 21:30:12.370,0.05,-0.098,-0.127,-0.045,-0.238,-0.099
1900-01-01 21:30:12.380,0.135,-0.0216666666666666,-0.1266666666666666,0.075,-0.075,0.01
