time,wx,wy,wz,ax,ay,az
1900-01-01 02:21:41.180,0.018,0.192,0.066,0.3179999999999999,-0.818,-0.42
1900-01-01 02:21:41.190,0.134,0.147,-0.045,-0.267,-0.619,-0.244
1900-01-01 02:21:41.200,0.3183333333333333,0.0366666666666666,-0.1616666666666666,-0.66,-0.47,0.355
1900-01-01 02:21:41.210,0.3816666666666666,-0.0383333333333333,-0.1983333333333333,-0.6516666666666667,-0.82,0.295
1900-01-01 02:21:41.220,0.315,-0.0233333333333333,-0.2333333333333333,0.0333333333333333,-0.4766666666666666,0.1033333333333333
1900-01-01 02:21:41.230,0.2175,0.035,-0.2575,0.32,0.31,-0.23
1900-01-01 02:21:41.240,0.13375,0.015,-0.17625,0.01125,0.8025,-0.10375
1900-01-01 02:21:41.260,0.08,-0.0185714285714285,-0.0328571428571428,0.0928571428571428,0.5585714285714286,0.2457142857142857
1900-01-01 02:21:41.270,0.0087499999999999,0.04875,0.0225,0.39,0.525,-0.625
1900-01-01 02:21:41.280,-0.0855555555555555,0.0455555555555555,0.0722222222222222,-0.2255555555555556,0.5277777777777778,-0.6733333333333333
1900-01-01 02:21:41.290,-0.104,-0.014,0.09,-0.8480000000000001,0.592,-0.632
1900-01-01 02:21:41.300,-0.1525,-0.0024999999999999,0.1162499999999999,-0.51625,0.0749999999999999,-0.09125
1900-01-01 02:21:41.310,-0.1699999999999999,0.0,0.13,-0.51,-0.4,0.09
1900-01-01 02:21:41.320,-0.15,-0.05,0.0777777777777777,-0.2388888888888888,-0.2822222222222222,-0.0455555555555555
1900-01-01 02:21:41.330,-0.0916666666666666,-0.0566666666666666,-0.0416666666666666,0.8066666666666666,-0.1266666666666666,0.9066666666666668
1900-01-01 02:21:41.340,-0.0633333333333333,-0.0783333333333333,-0.0666666666666666,0.5333333333333333,-0.3166666666666666,0.4433333333333333
1900-01-01 02:21:41.350,-0.01,-0.0966666666666666,-0.0766666666666666,0.32,-0.31,0.13
1900-01-01 02:21:41.360,0.0083333333333333,-0.0716666666666666,-0.0766666666666666,0.535,-0.2749999999999999,0.035
1900-01-01 02:21:41.370,0.0557142857142857,0.0014285714285714,-0.0842857142857142,0.5357142857142857,0.0242857142857142,-0.4885714285714285
1900-01-01 02:21:41.380,0.0816666666666666,-0.0116666666666666,-0.0533333333333333,0.02,-0.33,-0.86
1900-01-01 02:21:41.390,0.1,0.016,-0.042,0.42,-0.26,-0.18
1900-01-01 02:21:41.400,0.09875,0.06125,-0.06,0.3225,-0.00375,-0.0187499999999999
1900-01-01 02:21:41.410,0.0571428571428571,0.0457142857142857,0.0014285714285714,-0.6,-0.1214285714285714,-0.3714285714285714
1900-01-01 02:21:41.420,0.0266666666666666,0.0383333333333333,0.0249999999999999,-0.7666666666666667,0.0366666666666666,-0.55
1900-01-01 02:21:41.430,0.04,0.07,-0.0066666666666666,-0.46,0.25,-0.29
1900-01-01 02:21:41.440,-0.0533333333333333,-0.0266666666666666,0.0322222222222222,-0.6355555555555555,-0.2588888888888889,-0.6166666666666667
1900-01-01 02:21:41.450,-0.05,-0.0266666666666666,-0.0533333333333333,-0.0833333333333333,0.1066666666666666,-0.2033333333333333
1900-01-01 02:21:41.470,-0.0488888888888888,-0.0633333333333333,-0.0622222222222222,0.1633333333333333,-0.0133333333333333,0.21
1900-01-01 02:21:41.480,-0.0011111111111111,0.0333333333333333,0.02,0.7644444444444445,-0.0511111111111111,-0.1244444444444444
1900-01-01 02:21:41.490,0.05,0.235,0.0866666666666666,0.8650000000000001,0.3999999999999999,0.055
1900-01-01 02:21:41.500,0.078,0.196,0.196,0.14,0.36,0.02
1900-01-01 02:21:41.510,0.1333333333333333,0.1766666666666666,0.1433333333333333,-0.5,-0.14,0.36
1900-01-01 02:21:41.520,0.1639999999999999,0.095,-0.065,-0.725,-0.584,0.387
1900-01-01 02:21:41.530,0.21,-0.1614285714285714,-0.2799999999999999,-0.9685714285714286,-0.6857142857142857,0.1457142857142857
1900-01-01 02:21:41.540,0.196,-0.21,-0.392,-0.5660000000000001,-0.102,-0.3
1900-01-01 02:21:41.550,0.1733333333333333,-0.1633333333333333,-0.4000000000000001,-0.11,0.42,-0.66
1900-01-01 02:21:41.570,0.1422222222222222,-0.1255555555555555,-0.2455555555555555,0.52,0.5455555555555556,-0.2844444444444444
1900-01-01 02:21:41.580,0.0475,0.0616666666666666,0.0408333333333333,1.3175,0.9641666666666668,-0.4616666666666666
1900-01-01 02:21:41.590,-0.0475,0.1875,0.195,1.325,0.5025000000000001,0.0975
1900-01-01 02:21:41.600,-0.1042857142857142,0.15,0.24,0.6185714285714285,0.3214285714285714,0.3671428571428571
1900-01-01 02:21:41.610,-0.1916666666666666,0.105,0.205,0.4066666666666667,0.25,0.9333333333333332
1900-01-01 02:21:41.620,-0.23125,-0.0024999999999999,0.08,-0.34,-0.125,0.745
1900-01-01 02:21:41.630,-0.225,-0.0849999999999999,0.005,-0.68,-0.46,0.59
1900-01-01 02:21:41.640,-0.1755555555555555,-0.1566666666666666,-0.0688888888888888,-0.3733333333333333,-1.1244444444444444,0.54
1900-01-01 02:21:41.650,-0.0966666666666666,-0.1733333333333333,-0.18,-0.3499999999999999,-0.93,-0.58
1900-01-01 02:21:41.670,0.0433333333333333,-0.0425,-0.1991666666666667,-0.0641666666666666,-0.115,-0.8641666666666666
1900-01-01 02:21:41.680,0.2655555555555555,0.0155555555555555,-0.0055555555555555,-0.2066666666666666,0.1988888888888889,-0.55
