time,wx,wy,wz,ax,ay,az
1900-01-01 12:39:09.440,-0.03,0.035,-0.015,3.835,0.39,-0.0824999999999999
1900-01-01 12:39:09.450,-0.0866666666666666,-0.1366666666666667,0.0266666666666666,3.865,0.4399999999999999,0.2266666666666666
1900-01-01 12:39:09.460,-0.0971428571428571,-0.0428571428571428,0.0185714285714285,4.304285714285714,0.3685714285714286,0.6357142857142858
1900-01-01 12:39:09.470,-0.0076923076923076,-0.023076923076923,-0.013076923076923,4.291538461538462,0.3507692307692307,1.505384615384615
1900-01-01 12:39:09.480,0.0466666666666666,-0.0266666666666666,0.01,4.07,0.3166666666666667,1.6
1900-01-01 12:39:09.490,0.04,-0.048,-0.006,4.11,0.14,1.4540000000000002
1900-01-01 12:39:09.500,0.0346666666666666,-0.044,-0.006,4.621333333333333,0.466,1.0086666666666668
1900-01-01 12:39:09.510,0.03,-0.035,-0.04,4.5125,0.0199999999999999,0.7
1900-01-01 12:39:09.520,0.0454545454545454,-0.0063636363636363,-0.03,4.31,1.2336363636363636,1.0445454545454549
1900-01-01 12:39:09.530,0.0355555555555555,-0.0722222222222222,-0.0211111111111111,4.545555555555556,0.4066666666666667,0.4133333333333333
1900-01-01 12:39:09.540,0.015,0.1,-0.0574999999999999,4.2975,0.79375,1.1325
1900-01-01 12:39:09.550,0.01,-0.06,-0.04,3.65,0.45,1.82
1900-01-01 12:39:09.560,0.025,-0.14,-0.01,3.7025,0.7575,1.7975
1900-01-01 12:39:09.570,0.0523529411764705,-0.0170588235294117,-0.0211764705882352,4.357647058823529,0.4564705882352941,1.0441176470588236
1900-01-01 12:39:09.580,0.066,-0.086,-0.016,4.192,0.716,0.868
1900-01-01 12:39:09.590,0.0416666666666666,-0.005,-0.03,4.4125000000000005,0.4658333333333333,0.3125
1900-01-01 12:39:09.600,0.0257142857142857,-0.0828571428571428,-0.0328571428571428,4.804285714285714,0.4671428571428571,0.4842857142857142
1900-01-01 12:39:09.610,0.025,0.05625,-0.0475,4.6625,0.585,0.03
1900-01-01 12:39:09.620,0.0,0.09,-0.0766666666666666,4.353333333333333,0.41,1.2933333333333332
1900-01-01 12:39:09.630,0.0142857142857142,-0.0371428571428571,-0.0242857142857142,3.846428571428572,0.4864285714285715,1.0521428571428573
1900-01-01 12:39:09.640,0.035,0.01,-0.05,3.61125,0.34125,1.25
1900-01-01 12:39:09.650,0.07,-0.16,-0.01,3.86,1.29,1.23
1900-01-01 12:39:09.660,0.0342857142857142,-0.0257142857142857,-0.0157142857142857,4.4750000000000005,0.2835714285714286,0.0692857142857143
1900-01-01 12:39:09.670,0.0,-0.0025,-0.0424999999999999,3.84,0.455,0.66625
1900-01-01 12:39:09.680,0.0,-0.08,0.01,4.16875,0.09125,0.26125
1900-01-01 12:39:09.690,0.01,0.02,-0.04,4.491428571428571,-0.03,0.2171428571428571
1900-01-01 12:39:09.700,0.01,-0.0085714285714285,-0.04,3.642857142857143,0.1242857142857142,0.5014285714285714
1900-01-01 12:39:09.710,0.02,-0.11,0.0,3.84,0.29,0.69
1900-01-01 12:39:09.720,-0.0106666666666666,-0.0006666666666666,-0.0253333333333333,4.273333333333334,0.0893333333333333,0.3879999999999999
1900-01-01 12:39:09.730,-0.01,0.02,-0.04,3.82,1.1449999999999998,1.471666666666667
1900-01-01 12:39:09.740,0.0066666666666666,-0.0699999999999999,-0.0033333333333333,3.863333333333333,0.1925,0.6975000000000001
1900-01-01 12:39:09.750,0.02,0.11,-0.04,3.62,0.36,0.14
1900-01-01 12:39:09.760,0.02,0.0666666666666666,-0.0366666666666666,3.86,1.02,0.7600000000000001
1900-01-01 12:39:09.770,-0.0136842105263157,-0.0357894736842105,-0.0026315789473684,3.747368421052632,-0.001578947368421,0.1847368421052631
1900-01-01 12:39:09.780,-0.04,-0.065,0.0,3.37,-0.31375,0.95875
1900-01-01 12:39:09.790,-0.01,-0.0575,0.0375,3.985,0.0474999999999999,0.5187499999999999
1900-01-01 12:39:09.800,0.0,-0.0042857142857142,-0.0171428571428571,4.465714285714285,0.0628571428571428,0.87
1900-01-01 12:39:09.810,-0.0022222222222222,-0.0611111111111111,0.0022222222222222,4.408888888888889,0.7166666666666667,0.8077777777777778
1900-01-01 12:39:09.820,-0.02,0.0271428571428571,-0.0271428571428571,4.288571428571428,-0.5514285714285714,0.39
1900-01-01 12:39:09.830,0.0057142857142857,-0.0328571428571428,-0.0328571428571428,3.95,0.6042857142857143,1.0285714285714287
1900-01-01 12:39:09.840,0.012,-0.036,0.006,4.001,0.52,0.4469999999999999
1900-01-01 12:39:09.850,0.0,-0.04,-0.02,4.02,-0.09,0.15
1900-01-01 12:39:09.860,-0.0145454545454545,-0.0018181818181818,-0.0127272727272727,3.261818181818182,-0.0809090909090909,0.3027272727272727
1900-01-01 12:39:09.870,-0.044,-0.152,0.032,3.494,-0.99,0.85
1900-01-01 12:39:09.880,-0.005,-0.01,0.03,3.35625,-0.345,-0.0112499999999999
1900-01-01 12:39:09.890,-0.0009090909090909,-0.12,0.0218181818181818,4.36,-0.0154545454545454,0.6272727272727273
1900-01-01 12:39:09.900,-0.0318181818181818,0.0509090909090909,-0.0181818181818181,5.07,-0.2027272727272727,0.0263636363636363
1900-01-01 12:39:09.910,-0.01,-0.08,-0.04,4.452500000000001,1.12,1.31625
1900-01-01 12:39:09.920,-0.005,-0.0625,0.005,4.7175,0.125,0.32625
1900-01-01 12:39:09.930,-0.0142857142857142,0.0442857142857142,-0.0428571428571428,3.847142857142857,-0.8985714285714287,0.1671428571428571
