
time,ax,ay,az,wx,wy,wz,
22:33:45:280,0.83,0.48,-2.29,0.25,0.18,-0.03,
22:33:45:281,0.57,-0.15,-3.20,0.25,0.18,-0.03,
22:33:45:282,0.57,-0.15,-3.20,0.12,0.18,-0.04,
22:33:45:283,0.57,-0.15,-3.19,0.12,0.18,-0.04,
22:33:45:283,0.57,-0.15,-3.19,-0.01,0.14,-0.05,
22:33:45:284,0.07,0.00,-2.49,-0.01,0.14,-0.05,
22:33:45:284,0.07,0.00,-2.49,-0.12,0.10,-0.04,
22:33:45:285,0.07,0.00,-2.49,-0.12,0.10,-0.04,
22:33:45:286,0.07,0.00,-2.49,-0.22,0.06,-0.03,
22:33:45:286,-0.58,-0.05,-1.46,-0.22,0.06,-0.03,
22:33:45:287,-0.58,-0.05,-1.46,-0.29,0.02,-0.01,
22:33:45:289,-0.58,-0.05,-1.46,-0.29,0.02,-0.01,
22:33:45:289,-0.58,-0.05,-1.46,-0.33,-0.01,0.01,
22:33:45:290,-0.59,-0.23,-0.33,-0.33,-0.01,0.01,
22:33:45:290,-0.59,-0.23,-0.33,-0.35,-0.03,0.03,
22:33:45:291,-0.59,-0.23,-0.33,-0.35,-0.03,0.03,
22:33:45:294,-0.59,-0.23,-0.33,-0.33,-0.05,0.03,
22:33:45:295,-0.09,-0.43,0.68,-0.33,-0.05,0.03,
22:33:45:296,-0.09,-0.43,0.68,-0.29,-0.07,0.03,
22:33:45:296,-0.09,-0.42,0.68,-0.29,-0.07,0.03,
22:33:45:297,-0.09,-0.42,0.68,-0.23,-0.07,0.02,
22:33:45:297,0.19,-0.33,1.46,-0.23,-0.07,0.02,
22:33:45:315,0.19,-0.33,1.46,-0.15,-0.06,0.01,
22:33:45:316,0.19,-0.32,1.46,-0.15,-0.06,0.01,
22:33:45:317,0.19,-0.32,1.46,-0.05,-0.04,-0.00,
22:33:45:318,0.08,-0.08,1.43,-0.05,-0.04,-0.00,
22:33:45:320,0.08,-0.08,1.43,0.04,-0.02,-0.01,
22:33:45:321,0.08,-0.08,1.43,0.04,-0.02,-0.01,
22:33:45:322,0.08,-0.08,1.43,0.13,0.00,-0.02,
22:33:45:323,0.00,0.27,0.94,0.13,0.00,-0.02,
22:33:45:323,0.00,0.27,0.94,0.19,0.02,-0.01,
22:33:45:324,0.00,0.27,0.95,0.19,0.02,-0.01,
22:33:45:325,0.00,0.27,0.95,0.22,0.02,-0.01,
22:33:45:326,0.02,0.39,0.26,0.22,0.02,-0.01,
22:33:45:326,0.02,0.39,0.26,0.22,0.01,-0.01,
22:33:45:326,0.02,0.39,0.26,0.22,0.01,-0.01,
22:33:45:327,0.02,0.39,0.26,0.20,0.00,-0.00,
22:33:45:327,-0.09,0.14,-0.70,0.20,0.00,-0.00,
22:33:45:328,-0.09,0.14,-0.70,0.15,-0.02,0.00,
22:33:45:328,-0.09,0.14,-0.70,0.15,-0.02,0.00,
22:33:45:328,-0.09,0.14,-0.70,0.10,-0.03,0.01,
22:33:45:329,0.02,-0.05,-1.27,0.10,-0.03,0.01,
22:33:45:329,0.02,-0.05,-1.27,0.04,-0.03,0.01,
22:33:45:329,0.02,-0.05,-1.27,0.04,-0.03,0.01,
22:33:45:330,0.02,-0.05,-1.27,-0.01,-0.02,0.01,
22:33:45:331,0.06,-0.19,-1.30,-0.01,-0.02,0.01,
22:33:45:331,0.06,-0.19,-1.30,-0.06,-0.01,0.01,
22:33:45:332,0.06,-0.19,-1.30,-0.06,-0.01,0.01,
22:33:45:333,0.06,-0.19,-1.30,-0.10,0.01,0.01,
22:33:45:333,0.01,-0.32,-0.65,-0.10,0.01,0.01,
22:33:45:335,0.01,-0.32,-0.65,-0.12,0.03,0.00,
22:33:45:336,0.02,-0.32,-0.65,-0.12,0.03,0.00,
22:33:45:337,0.02,-0.32,-0.65,-0.13,0.03,-0.00,
22:33:45:337,-0.09,-0.47,0.11,-0.13,0.03,-0.00,
22:33:45:339,-0.09,-0.47,0.11,-0.12,0.02,-0.00,
22:33:45:340,-0.09,-0.47,0.11,-0.12,0.02,-0.00,
22:33:45:342,-0.09,-0.47,0.11,-0.09,0.01,-0.00,
22:33:45:342,-0.11,-0.30,0.63,-0.09,0.01,-0.00,
22:33:45:344,-0.11,-0.30,0.63,-0.05,-0.01,0.00,
22:33:45:345,-0.11,-0.30,0.62,-0.05,-0.01,0.00,
22:33:45:347,-0.11,-0.30,0.62,-0.01,-0.02,0.00,
22:33:45:347,-0.16,-0.03,0.71,-0.01,-0.02,0.00,
22:33:45:357,-0.16,-0.03,0.71,0.03,-0.01,0.00,
22:33:45:357,-0.16,-0.03,0.71,0.03,-0.01,0.00,
22:33:45:358,-0.16,-0.03,0.71,0.07,-0.00,0.00,
22:33:45:358,-0.12,0.23,0.41,0.07,-0.00,0.00,
22:33:45:359,-0.12,0.23,0.41,0.08,-0.00,-0.00,
22:33:45:359,-0.12,0.23,0.41,0.08,-0.00,-0.00,
22:33:45:359,-0.12,0.23,0.41,0.09,-0.01,0.00,
22:33:45:360,0.00,0.33,-0.13,0.09,-0.01,0.00,
22:33:45:360,0.00,0.33,-0.13,0.09,-0.02,0.00,
22:33:45:361,0.00,0.33,-0.13,0.09,-0.02,0.00,
22:33:45:362,0.00,0.33,-0.13,0.07,-0.03,0.01,
22:33:45:362,0.03,0.24,-0.69,0.07,-0.03,0.01,
22:33:45:364,0.03,0.24,-0.69,0.05,-0.02,0.01,
22:33:45:365,0.03,0.24,-0.69,0.05,-0.02,0.01,
22:33:45:367,0.03,0.24,-0.69,0.03,-0.01,0.01,
22:33:45:369,0.05,0.21,-0.89,0.03,-0.01,0.01,
22:33:45:369,0.05,0.21,-0.89,0.00,-0.00,0.01,
22:33:45:369,0.05,0.21,-0.89,0.00,-0.00,0.01,
22:33:45:380,0.05,0.21,-0.89,-0.02,0.00,0.00,
22:33:45:380,0.07,-0.02,-0.74,-0.02,0.00,0.00,
22:33:45:381,0.07,-0.02,-0.74,-0.04,0.01,0.00,
22:33:45:382,0.07,-0.02,-0.74,-0.04,0.01,0.00,
22:33:45:382,0.07,-0.02,-0.74,-0.04,0.02,0.00,
22:33:45:383,-0.03,0.02,-0.31,-0.04,0.02,0.00,
22:33:45:383,-0.03,0.02,-0.31,-0.05,0.03,-0.00,
22:33:45:383,-0.03,0.02,-0.31,-0.05,0.03,-0.00,
22:33:45:384,-0.03,0.02,-0.31,-0.04,0.02,-0.00,
22:33:45:385,-0.11,0.06,0.02,-0.04,0.02,-0.00,
22:33:45:386,-0.11,0.06,0.02,-0.03,0.00,-0.00,
22:33:45:387,-0.11,0.06,0.02,-0.03,0.00,-0.00,
22:33:45:388,-0.11,0.06,0.02,-0.01,-0.01,0.00,
22:33:45:388,-0.11,0.01,0.10,-0.01,-0.01,0.00,
22:33:45:392,-0.11,0.01,0.10,0.00,-0.02,0.00,
22:33:45:393,-0.11,0.01,0.10,0.00,-0.02,0.00,
22:33:45:393,-0.11,0.01,0.10,0.02,-0.02,0.01,
22:33:45:394,-0.05,0.13,-0.04,0.02,-0.02,0.01,
22:33:45:394,-0.05,0.13,-0.04,0.03,-0.01,0.01,
22:33:45:395,-0.06,0.13,-0.04,0.03,-0.01,0.01,
22:33:45:397,-0.06,0.13,-0.04,0.04,0.00,0.00,
22:33:45:398,-0.12,0.29,-0.20,0.04,0.00,0.00,
22:33:45:400,-0.12,0.29,-0.20,0.04,0.01,0.00,
22:33:45:401,-0.12,0.29,-0.20,0.04,0.01,0.00,
22:33:45:402,-0.12,0.29,-0.20,0.04,0.01,-0.00,
22:33:45:404,-0.10,0.48,-0.28,0.04,0.01,-0.00,
22:33:45:405,-0.10,0.48,-0.28,0.04,0.00,-0.00,
22:33:45:406,-0.10,0.48,-0.28,0.04,0.00,-0.00,
22:33:45:407,-0.10,0.48,-0.28,0.03,-0.01,-0.00,
22:33:45:407,-0.12,0.60,-0.47,0.03,-0.01,-0.00,
22:33:45:409,-0.12,0.60,-0.47,0.02,-0.02,0.00,
22:33:45:410,-0.12,0.60,-0.47,0.02,-0.02,0.00,
22:33:45:412,-0.12,0.60,-0.47,0.01,-0.02,0.01,
22:33:45:412,-0.01,0.44,-0.52,0.01,-0.02,0.01,
22:33:45:414,-0.01,0.44,-0.52,0.00,-0.02,0.01,
22:33:45:415,-0.02,0.44,-0.52,0.00,-0.02,0.01,
22:33:45:417,-0.02,0.44,-0.52,-0.01,-0.01,0.01,
22:33:45:418,-0.23,-0.17,-0.95,-0.01,-0.01,0.01,
22:33:45:419,-0.23,-0.17,-0.95,-0.01,-0.01,0.01,
22:33:45:420,-0.23,-0.17,-0.95,-0.01,-0.01,0.01,
22:33:45:422,-0.23,-0.17,-0.95,-0.02,-0.01,0.01,
22:33:45:422,0.15,-0.02,-0.33,-0.02,-0.01,0.01,
22:33:45:424,0.15,-0.02,-0.33,-0.02,0.01,0.00,
22:33:45:425,0.15,-0.02,-0.33,-0.02,0.01,0.00,
22:33:45:426,0.15,-0.02,-0.33,-0.01,0.03,-0.00,
22:33:45:427,0.01,0.40,-0.24,-0.01,0.03,-0.00,
22:33:45:429,0.01,0.40,-0.24,-0.00,0.03,-0.01,
22:33:45:429,0.01,0.40,-0.24,-0.00,0.03,-0.01,
22:33:45:440,0.01,0.40,-0.24,-0.01,0.02,-0.00,
22:33:45:441,-0.15,-0.27,-0.04,-0.01,0.02,-0.00,
22:33:45:441,-0.15,-0.27,-0.04,-0.00,0.01,0.00,
22:33:45:442,-0.15,-0.27,-0.04,-0.00,0.01,0.00,
22:33:45:442,-0.15,-0.27,-0.04,0.00,0.00,0.00,
22:33:45:443,-0.49,-0.19,-0.23,0.00,0.00,0.00,
22:33:45:443,-0.49,-0.19,-0.23,0.00,0.00,0.01,
22:33:45:443,-0.49,-0.19,-0.23,0.00,0.00,0.01,
22:33:45:444,-0.49,-0.19,-0.23,0.01,-0.02,0.01,
22:33:45:444,0.16,0.62,0.06,0.01,-0.02,0.01,
22:33:45:445,0.16,0.62,0.06,0.02,-0.04,0.01,
22:33:45:445,0.16,0.62,0.06,0.02,-0.04,0.01,
22:33:45:447,0.16,0.62,0.06,0.02,-0.01,0.01,
22:33:45:447,-0.28,0.26,-0.38,0.02,-0.01,0.01,
22:33:45:450,-0.28,0.26,-0.38,0.03,0.01,0.00,
22:33:45:452,-0.28,0.26,-0.37,0.03,0.01,0.00,
22:33:45:453,-0.28,0.26,-0.37,0.03,0.01,-0.00,
22:33:45:454,0.17,0.63,-0.25,0.03,0.01,-0.00,
22:33:45:455,0.17,0.63,-0.25,0.02,-0.00,0.00,
22:33:45:456,0.17,0.63,-0.25,0.02,-0.00,0.00,
22:33:45:457,0.17,0.63,-0.25,0.02,-0.01,0.00,
22:33:45:458,-0.07,0.41,-0.67,0.02,-0.01,0.00,
22:33:45:459,-0.07,0.41,-0.67,0.02,-0.00,0.00,
22:33:45:460,-0.07,0.41,-0.67,0.02,-0.00,0.00,
22:33:45:462,-0.07,0.41,-0.67,0.01,0.00,0.00,
22:33:45:463,-0.07,0.32,-0.52,0.01,0.00,0.00,
22:33:45:465,-0.07,0.32,-0.52,0.01,0.00,0.00,
22:33:45:466,-0.07,0.32,-0.52,0.01,0.00,0.00,
22:33:45:467,-0.07,0.32,-0.52,0.00,-0.00,0.01,
22:33:45:469,0.01,0.14,-0.54,0.00,-0.00,0.01,
22:33:45:469,0.01,0.14,-0.54,-0.00,-0.00,0.01,
22:33:45:470,0.01,0.14,-0.54,-0.00,-0.00,0.01,
22:33:45:476,0.01,0.14,-0.54,-0.01,0.01,0.00,
22:33:45:477,-0.19,0.15,-0.51,-0.01,0.01,0.00,
22:33:45:478,-0.19,0.15,-0.51,-0.01,0.02,0.00,
22:33:45:478,-0.19,0.15,-0.51,-0.01,0.02,0.00,
22:33:45:479,-0.19,0.15,-0.51,-0.01,0.01,0.01,
22:33:45:479,-0.07,0.07,-0.05,-0.01,0.01,0.01,
22:33:45:480,-0.07,0.07,-0.05,-0.01,0.02,0.00,
22:33:45:480,-0.07,0.07,-0.05,-0.01,0.02,0.00,
22:33:45:483,-0.07,0.07,-0.05,-0.01,0.02,0.00,
22:33:45:485,-0.28,-0.13,-0.06,-0.01,0.02,0.00,
22:33:45:487,-0.28,-0.13,-0.06,-0.01,0.00,0.00,
22:33:45:488,-0.28,-0.13,-0.06,-0.01,0.00,0.00,
22:33:45:489,-0.28,-0.13,-0.06,0.01,-0.02,0.00,
22:33:45:490,-0.19,0.00,-0.13,0.01,-0.02,0.00,
22:33:45:491,-0.19,0.00,-0.13,0.02,-0.03,0.01,
22:33:45:492,-0.19,0.00,-0.13,0.02,-0.03,0.01,
22:33:45:497,-0.19,0.00,-0.13,0.03,-0.02,0.01,
22:33:45:497,-0.03,0.37,-0.04,0.03,-0.02,0.01,
22:33:45:498,-0.03,0.37,-0.04,0.03,0.00,0.01,
22:33:45:498,-0.03,0.37,-0.04,0.03,0.00,0.01,
22:33:45:498,-0.03,0.37,-0.04,0.03,0.01,0.00,
22:33:45:499,-0.08,0.32,-0.46,0.03,0.01,0.00,
22:33:45:499,-0.08,0.32,-0.46,0.03,-0.00,0.00,
22:33:45:500,-0.09,0.32,-0.46,0.03,-0.00,0.00,
22:33:45:502,-0.09,0.32,-0.46,0.03,-0.01,0.00,
22:33:45:502,0.06,0.41,-0.50,0.03,-0.01,0.00,
22:33:45:504,0.06,0.41,-0.50,0.03,-0.01,0.00,
22:33:45:504,0.06,0.40,-0.50,0.03,-0.01,0.00,
22:33:45:507,0.06,0.40,-0.50,0.02,0.01,0.00,
22:33:45:507,-0.13,0.49,-0.59,0.02,0.01,0.00,
22:33:45:509,-0.13,0.49,-0.59,0.02,0.02,0.00,
22:33:45:510,-0.13,0.49,-0.59,0.02,0.02,0.00,
22:33:45:512,-0.13,0.49,-0.59,0.01,0.01,-0.00,
22:33:45:512,-0.02,0.27,-0.52,0.01,0.01,-0.00,
22:33:45:514,-0.02,0.27,-0.52,-0.00,-0.00,0.00,
22:33:45:515,-0.02,0.27,-0.52,-0.00,-0.00,0.00,
22:33:45:517,-0.02,0.27,-0.52,-0.01,-0.00,0.01,
22:33:45:518,-0.11,-0.21,-0.48,-0.01,-0.00,0.01,
22:33:45:519,-0.11,-0.21,-0.48,-0.02,-0.01,0.01,
22:33:45:520,-0.11,-0.21,-0.48,-0.02,-0.01,0.01,
22:33:45:522,-0.11,-0.21,-0.48,-0.02,-0.01,0.01,
22:33:45:522,0.04,-0.06,-0.27,-0.02,-0.01,0.01,
22:33:45:524,0.04,-0.06,-0.27,-0.02,-0.00,0.01,
22:33:45:525,0.04,-0.06,-0.28,-0.02,-0.00,0.01,
22:33:45:527,0.04,-0.06,-0.28,-0.02,0.01,0.00,
22:33:45:527,0.06,-0.21,-0.00,-0.02,0.01,0.00,
22:33:45:529,0.06,-0.21,-0.00,-0.01,0.01,0.00,
22:33:45:530,0.06,-0.21,-0.00,-0.01,0.01,0.00,
22:33:45:534,0.06,-0.21,-0.00,-0.00,0.01,0.00,
22:33:45:535,-0.03,-0.23,-0.07,-0.00,0.01,0.00,
22:33:45:536,-0.03,-0.23,-0.07,0.01,0.00,-0.00,
22:33:45:537,-0.03,-0.23,-0.07,0.01,0.00,-0.00,
22:33:45:537,-0.03,-0.23,-0.07,0.02,-0.00,-0.00,
22:33:45:538,-0.03,0.12,-0.01,0.02,-0.00,-0.00,
22:33:45:539,-0.03,0.12,-0.01,0.03,0.01,-0.00,
22:33:45:540,-0.03,0.12,-0.00,0.03,0.01,-0.00,
22:33:45:542,-0.03,0.12,-0.00,0.03,0.01,-0.01,
22:33:45:542,-0.11,0.54,-0.07,0.03,0.01,-0.01,
22:33:45:544,-0.11,0.54,-0.07,0.04,0.01,-0.01,
22:33:45:545,-0.11,0.54,-0.07,0.04,0.01,-0.01,
22:33:45:547,-0.11,0.54,-0.07,0.04,-0.01,-0.00,
22:33:45:548,-0.07,0.58,-0.41,0.04,-0.01,-0.00,
22:33:45:561,-0.07,0.58,-0.41,0.04,-0.01,0.00,
22:33:45:562,-0.07,0.58,-0.41,0.04,-0.01,0.00,
22:33:45:563,-0.07,0.58,-0.41,0.03,-0.02,0.00,
22:33:45:563,0.02,0.49,-0.46,0.03,-0.02,0.00,
22:33:45:564,0.02,0.49,-0.46,0.02,-0.01,0.00,
22:33:45:565,0.02,0.49,-0.46,0.02,-0.01,0.00,
22:33:45:565,0.02,0.49,-0.46,0.01,-0.00,0.01,
22:33:45:566,-0.04,0.21,-0.70,0.01,-0.00,0.01,
22:33:45:567,-0.04,0.21,-0.70,-0.00,0.01,0.00,
22:33:45:567,-0.04,0.21,-0.70,-0.00,0.01,0.00,
22:33:45:568,-0.04,0.21,-0.70,-0.01,0.01,0.00,
22:33:45:569,-0.04,0.02,-0.59,-0.01,0.01,0.00,
22:33:45:569,-0.04,0.02,-0.59,-0.01,0.01,0.00,
22:33:45:570,-0.04,0.02,-0.59,-0.01,0.01,0.00,
22:33:45:571,-0.04,0.02,-0.59,-0.02,-0.00,0.00,
22:33:45:573,0.02,-0.10,-0.28,-0.02,-0.00,0.00,
22:33:45:574,0.02,-0.10,-0.28,-0.02,0.00,0.00,
22:33:45:575,0.02,-0.10,-0.28,-0.02,0.00,0.00,
22:33:45:576,0.02,-0.10,-0.28,-0.02,0.01,0.00,
22:33:45:577,-0.13,-0.22,-0.18,-0.02,0.01,0.00,
22:33:45:578,-0.13,-0.22,-0.18,-0.01,0.01,0.00,
22:33:45:578,-0.13,-0.22,-0.18,-0.01,0.01,0.00,
22:33:45:579,-0.13,-0.22,-0.18,-0.01,0.01,0.00,
22:33:45:579,-0.07,-0.32,0.02,-0.01,0.01,0.00,
22:33:45:580,-0.07,-0.32,0.02,-0.00,0.00,0.00,
22:33:45:580,-0.07,-0.32,0.02,-0.00,0.00,0.00,
22:33:45:582,-0.07,-0.32,0.02,0.01,0.00,0.00,
22:33:45:583,-0.16,-0.03,-0.08,0.01,0.00,0.00,
22:33:45:584,-0.16,-0.03,-0.08,0.02,0.00,-0.00,
22:33:45:586,-0.16,-0.03,-0.08,0.02,0.00,-0.00,
22:33:45:587,-0.16,-0.03,-0.08,0.02,-0.00,-0.00,
22:33:45:588,-0.02,0.31,0.01,0.02,-0.00,-0.00,
22:33:45:589,-0.02,0.31,0.01,0.03,-0.00,-0.00,
22:33:45:590,-0.02,0.31,0.01,0.03,-0.00,-0.00,
22:33:45:592,-0.02,0.31,0.01,0.03,-0.00,0.00,
22:33:45:592,0.03,0.59,-0.18,0.03,-0.00,0.00,
22:33:45:594,0.03,0.59,-0.18,0.03,-0.00,-0.00,
22:33:45:595,0.03,0.59,-0.18,0.03,-0.00,-0.00,
22:33:45:597,0.03,0.59,-0.18,0.03,-0.01,0.00,
22:33:45:597,-0.04,0.42,-0.58,0.03,-0.01,0.00,
22:33:45:599,-0.04,0.42,-0.58,0.02,-0.01,0.01,
22:33:45:600,-0.04,0.42,-0.57,0.02,-0.01,0.01,
22:33:45:602,-0.04,0.42,-0.57,0.02,-0.01,0.01,
